assigned_to,Mathematical,Shape(s) is closed,Labeled angles (if any) match drawn angle,Applicable - Labeled angles (if any) match drawn angle,Labeled lengths and areas (if any) match visual proportions,Applicable - Labeled lengths and areas (if any) match visual proportions,Core math properties of the shape(s) are correct,Spatial,Diagram is fully in frame,Diagram elements are scaled to be readable,Labels (if any) are associated with correct elements,Applicable - Labels (if any) are associated with correct elements,Diagram elements don't problematically overlap,prompt,subcategory,image,tikz
All (IRR),,Yes,No,N/A,No,,Yes,,Yes,Yes,Yes,,Yes,"two triangles side by side, Triangle ABC with sides 4, 5, 6 and Triangle DEF with sides 6, 7.5, unknown",triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-NmKanmSTok2qpIqsAtGqJ7Y71b71V4.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}[x=0.8in,y=0.8in]

% Triangle ABC
\begin{scope}[xshift=0in]
\draw (0,0) node[vertex,label=225:$A$] (A) {};
\draw (2.5,0) node[vertex,label=315:$B$] (B) {};
\draw (1.25,2.165) node[vertex,label=90:$C$] (C) {};

\draw [line width = 1pt] (A.center)--(B.center) node[midway,below] {6} 
                          (B.center)--(C.center) node[midway,right] {5} 
                          (C.center)--(A.center) node[midway,left] {4};

\draw (A) node[vertex]{};
\draw (B) node[vertex]{};
\draw (C) node[vertex]{};
\end{scope}

% Triangle DEF  
\begin{scope}[xshift=4in]
\draw (0,0) node[vertex,label=225:$D$] (D) {};
\draw (3.75,0) node[vertex,label=315:$E$] (E) {};
\draw (1.875,3.247) node[vertex,label=90:$F$] (F) {};

\draw [line width = 1pt] (D.center)--(E.center) node[midway,below] {6} 
                          (E.center)--(F.center) node[midway,right] {7.5} 
                          (F.center)--(D.center) node[midway,left] {?};

\draw (D) node[vertex]{};
\draw (E) node[vertex]{};
\draw (F) node[vertex]{};
\end{scope}

\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,Yes,,No,"triangle rotated sideways on grid, scalene triangle oriented with vertex pointing left, show 3 different heights perpendicular to each side, label h1 h2 h3",triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-puF96PK03PIh0dwZyzoGuUz0rf1jYn.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=0.5cm,y=0.5cm]

% Draw grid
\draw[help lines, step=0.5] (-2,-3) grid (6,4);

% Define triangle vertices (scalene triangle with vertex pointing left)
\coordinate (A) at (-1,1);  % Left vertex
\coordinate (B) at (4,3);   % Top right vertex  
\coordinate (C) at (3,-2);  % Bottom right vertex

% Draw triangle
\draw[thick, fill=LBlue, opacity=0.3] (A) -- (B) -- (C) -- cycle;

% Draw vertices
\node[vertex] at (A) {};
\node[vertex] at (B) {};
\node[vertex] at (C) {};

% Height from A to side BC (h1)
% First find the foot of perpendicular from A to BC
\coordinate (H1) at ($(B)!(A)!(C)$);
\draw[dashed, thick, red] (A) -- (H1);
\draw[line width=1pt] (H1) ++(-0.15,-0.1) rectangle ++(0.3,0.2);
\node[red] at ($(A)!0.5!(H1) + (0.3,0)$) {$h_1$};

% Height from B to side AC (h2)  
% Find the foot of perpendicular from B to AC
\coordinate (H2) at ($(A)!(B)!(C)$);
\draw[dashed, thick, blue] (B) -- (H2);
\draw[line width=1pt] (H2) ++(-0.1,-0.15) rectangle ++(0.2,0.3);
\node[blue] at ($(B)!0.5!(H2) + (-0.4,0.2)$) {$h_2$};

% Height from C to side AB (h3)
% Find the foot of perpendicular from C to AB  
\coordinate (H3) at ($(A)!(C)!(B)$);
\draw[dashed, thick, green!60!black] (C) -- (H3);
\draw[line width=1pt] (H3) ++(-0.15,-0.1) rectangle ++(0.3,0.2);
\node[green!60!black] at ($(C)!0.5!(H3) + (0.4,-0.3)$) {$h_3$};

% Extend sides slightly for clarity
\draw[thick] (A) -- (B);
\draw[thick] (B) -- (C);  
\draw[thick] (C) -- (A);

\end{tikzpicture}

\end{document}"
All (IRR),,Yes,No,N/A,No,N/A,Yes,,No,Yes,Yes,,Yes,"triangle PQR with point Q marked, showing rotation pattern",triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-OqLEbul0xA8HCR76lxaVLAJwniG01I.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=1in,y=1in]
\clip(-2,-1.5) rectangle (2,1.5);

% Original triangle PQR
\draw[thick] (-1.5,-0.5) -- (1,1) -- (0.5,-1) -- cycle;

% Mark point Q with a filled circle
\fill (1,1) circle (0.08);
\node[above right] at (1,1) {Q};

% Label other vertices
\node[below left] at (-1.5,-0.5) {P};
\node[below right] at (0.5,-1) {R};

% Show rotation pattern with arrows and rotated positions
% 90° rotation around Q
\begin{scope}[rotate around={90:(1,1)}]
\draw[dashed, blue] (-1.5,-0.5) -- (1,1) -- (0.5,-1) -- cycle;
\end{scope}

% 180° rotation around Q
\begin{scope}[rotate around={180:(1,1)}]
\draw[dotted, red] (-1.5,-0.5) -- (1,1) -- (0.5,-1) -- cycle;
\end{scope}

% 270° rotation around Q
\begin{scope}[rotate around={270:(1,1)}]
\draw[dash dot, green] (-1.5,-0.5) -- (1,1) -- (0.5,-1) -- cycle;
\end{scope}

% Rotation arrows showing the pattern
\draw[->, thick, purple] (1.3,1) arc (0:90:0.3);
\draw[->, thick, purple] (0.7,1.3) arc (90:180:0.3);
\draw[->, thick, purple] (0.7,0.7) arc (180:270:0.3);
\draw[->, thick, purple] (1.3,0.7) arc (270:360:0.3);

\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,N/A,No,,Yes,,Yes,Yes,Yes,,No,"Triangle ABC with vertices labeled A, B, C, side length 8 units, distance from A to C is 6 units",triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-7tqIzZ0CYuazRTTmJcZZFrspq7Qvfr.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}
\clip (-1,-1) rectangle (9,7);

% Define vertices with AC = 6 units and one side = 8 units
% Let's place A at origin, C at (6,0), and B positioned to make AB = 8
\coordinate (A) at (0,0);
\coordinate (C) at (6,0);
\coordinate (B) at (3,5.196); % Using Pythagorean theorem to position B

% Draw the triangle
\draw (A)--(B)--(C)--(A);

% Label vertices
\node[vertex,label=below left:{$A$}] at (A) {};
\node[vertex,label=above:{$B$}] at (B) {};
\node[vertex,label=below right:{$C$}] at (C) {};

% Label the sides with their lengths
\node at (1.5,2.6) {8};
\node at (3,-0.4) {6};

\end{tikzpicture}

\end{document}"
All (IRR),,Yes,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,"triangle with base labeled and height shown as dashed perpendicular line, base = 8, height = 5",triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-v0zwCNEMKbWGPkyH2lpNnKH4qlN7Ur.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=1in,y=1in]
\clip (-0.5,-0.5) rectangle (5,3);

\begin{scope}
% Draw the triangle with base = 8 and height = 5
\draw[fill=LBlue] (0,0)--(4,0)--(2,2.5)--cycle;

% Draw the dashed height line from apex to base
\draw[dashed] (2,2.5)--(2,0);

% Draw right angle indicator at the base
\draw[line width=0.5pt] (2,0) rectangle ($(2,0)+(.1,.1)$);

% Label the base
\node[below] at (2,-0.2) {8};

% Label the height
\node[right] at (2.1,1.25) {5};

% Draw arrows indicating the base length
\draw[<->] (0,-0.4)--(4,-0.4);

\end{scope}

\end{tikzpicture}
\end{document}"
All (IRR),,Yes,Yes,,Yes,,Yes,,No,Yes,Yes,,Yes,"triangle base 10 height 8 area=40, scaled copy base 15 height 12 area=90",triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-pNkNIKrwQEk5TOETTOEsOoRTxSindO.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=1in,y=1in]
\clip (-0.1,-0.4) rectangle (4.5,2.8);

% Original triangle
\begin{scope}
\draw[fill=LBlue] (0,0)--(2,0)--(1,1.6)--cycle;
\draw[dashed] (1,1.6)--(1,0);
\draw[line width=0.5pt] (1,0) rectangle ($(1,0)+(.08,.08)$);

% Labels for original triangle
\node at (1,-0.2) {base = 10};
\node at (0.6,0.8) {height = 8};
\node at (1,2.1) {Area = 40};

% Base measurement arrows
\draw[<->] (0,-0.15)--(2,-0.15);

% Height measurement line
\draw[<->] (0.85,0)--(0.85,1.6);
\end{scope}

% Scaled copy triangle
\begin{scope}[xshift=2.5in]
\draw[fill=LGreen] (0,0)--(3,0)--(1.5,2.4)--cycle;
\draw[dashed] (1.5,2.4)--(1.5,0);
\draw[line width=0.5pt] (1.5,0) rectangle ($(1.5,0)+(.08,.08)$);

% Labels for scaled triangle
\node at (1.5,-0.2) {base = 15};
\node at (1.1,1.2) {height = 12};
\node at (1.5,2.7) {Area = 90};

% Base measurement arrows
\draw[<->] (0,-0.15)--(3,-0.15);

% Height measurement line
\draw[<->] (1.35,0)--(1.35,2.4);
\end{scope}

\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,,Yes,,Yes,,Yes,Yes,Yes,,No,"right triangle with 30 degree angle, 60 degree angle, 90 degree angle, one side 7 cm, clearly labeled",triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-8PR0a2kIHFm2PiwIYgkrSX7UsI30gG.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=0.5in,y=0.5in]

% Define the vertices of the 30-60-90 triangle
\coordinate (A) at (0,0);  % Right angle vertex
\coordinate (B) at (7,0);  % 60 degree angle vertex  
\coordinate (C) at (0,4.04); % 30 degree angle vertex

% Draw the triangle
\draw[thick] (A) -- node[below] {7 cm} (B) -- (C) -- cycle;

% Draw right angle marker at A
\draw[thin] (0,0.4) -- (0.4,0.4) -- (0.4,0);

% Draw 30 degree angle arc and label at C
\draw[thin] (0,3.64) arc[start angle=-90, end angle=-60, radius=0.4];
\node at (-0.3,3.4) {$30^\circ$};

% Draw 60 degree angle arc and label at B
\draw[thin] (6.6,0) arc[start angle=180, end angle=120, radius=0.4];
\node at (6.3,0.3) {$60^\circ$};

% Label vertices
\node[vertex, label=225:{$A$}] at (A) {};
\node[vertex, label=315:{$B$}] at (B) {};
\node[vertex, label=135:{$C$}] at (C) {};

% Label the 90 degree angle
\node at (0.6,0.6) {$90^\circ$};

\end{tikzpicture}
\end{document}"
All (IRR),,Yes,Yes,,No,N/A,Yes,,Yes,Yes,Yes,,Yes,triangle with base labeled and height shown as perpendicular line to opposite vertex,triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-P4gJKGPsbZAGy2UVHGYAxzGGiMZZmx.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=1in,y=1in]
\clip (-0.1,-0.1) rectangle (2.1,1.8);

\begin{scope}
% Draw the triangle with light blue fill
\draw[LBlue,fill=LBlue] (0,0.3)--(2,0.3)--(1,1.6)--cycle;

% Label the base
\node at (1,0.15) {base};

% Draw the height as a dashed perpendicular line from top vertex to base
\draw[dashed, thick] (1,1.6)--(1,0.3);

% Draw right angle symbol at the intersection
\draw[line width=0.8pt] (1,0.3) rectangle ($(1,0.3)+(0.1,0.1)$);

% Label the height
\node[right] at (1.05,0.95) {height};

\end{scope}

\end{tikzpicture}
\end{document}"
All (IRR),,Yes,No,,No,N/A,Yes,,Yes,Yes,Yes,,No,"triangle RST with transversal line through points U and V, angle R = 45°, angle S = 60°",triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-DegkAm78TswV2LZka9ZywwIxX2pNPQ.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

% Command to draw angle labels
\newcommand{\angleLabel}[6][0.4in]{%[labelDistance]{center}{startAngle}{endAngle}{positionRatio}{label}
     \centerarc[line width=0.5pt]#2(#3:#4:0.2in);
     \pgfmathsetmacro{\labelAngle}{#5*(#3)+(1-#5)*(#4)}; 
     \node at ($#2+(\labelAngle:#1)$) {#6};
}

\begin{tikzpicture}[x=1in,y=1in]

% Define triangle vertices
\coordinate (R) at (0,0);
\coordinate (S) at (3,0);
\coordinate (T) at (1.5,2.6);

% Draw triangle RST
\draw[thick] (R) -- (S) -- (T) -- cycle;

% Label vertices
\node[vertex,label=below left:$R$] at (R) {};
\node[vertex,label=below right:$S$] at (S) {};
\node[vertex,label=above:$T$] at (T) {};

% Draw angle labels
\angleLabel[0.3in]{(R)}{0}{45}{0.5}{$45°$}
\angleLabel[0.3in]{(S)}{120}{180}{0.5}{$60°$}

% Define transversal line points U and V
% U is on side RT, V is on side ST
\coordinate (U) at (0.6,1.04);
\coordinate (V) at (2.1,1.73);

% Draw transversal line UV (extend beyond triangle)
\draw[thick,blue] ($(U)!-0.5!(V)$) -- ($(V)!-0.5!(U)$);

% Label points U and V
\node[vertex,label=left:$U$] at (U) {};
\node[vertex,label=right:$V$] at (V) {};

\end{tikzpicture}
\end{document}"
All (IRR),,Yes,Yes,,No,N/A,Yes,,Yes,Yes,Yes,,No,Triangle with perpendicular bisector drawn through one side,triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-fHSzPtgHhH4adc6CJXLwaA25hYLKrU.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=1in,y=1in]

% Define triangle vertices
\coordinate (A) at (0,0);
\coordinate (B) at (3,0);
\coordinate (C) at (1.5,2.5);

% Draw the triangle
\draw[thick] (A) -- (B) -- (C) -- cycle;

% Find midpoint of side AB
\coordinate (M) at (1.5,0);

% Draw perpendicular bisector through side AB
\draw[thick, blue] (M) -- (1.5,3);

% Mark the midpoint
\node[vertex] at (M) {};

% Add right angle symbol at the midpoint
\draw[thick] (1.4,-0.1) -- (1.4,0.1) -- (1.6,0.1) -- (1.6,-0.1);

% Label vertices
\node[below left] at (A) {$A$};
\node[below right] at (B) {$B$};
\node[above] at (C) {$C$};

% Label midpoint
\node[below] at (M) {$M$};

% Add dashed lines to show equal segments
\draw[dashed, gray] (A) -- (M);
\draw[dashed, gray] (M) -- (B);

% Mark equal segments with small perpendicular lines
\draw[thick] (0.7,-0.05) -- (0.7,0.05);
\draw[thick] (2.3,-0.05) -- (2.3,0.05);

\end{tikzpicture}
\end{document}"
