assigned_to,Mathematical,Shape(s) is closed,Labeled angles (if any) match drawn angle,Applicable - Labeled angles (if any) match drawn angle,Labeled lengths and areas (if any) match visual proportions,Applicable - Labeled lengths and areas (if any) match visual proportions,Core math properties of the shape(s) are correct,Spatial,Diagram is fully in frame,Diagram elements are scaled to be readable,Labels (if any) are associated with correct elements,Applicable - Labels (if any) are associated with correct elements,Diagram elements don't problematically overlap,prompt,subcategory,image,tikz,rating_source,diagram_id
Shubhra,,Yes,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,"triangle with side length 8 horizontal at bottom labeled base, height 6 shown with dashed line perpendicular from base to opposite vertex",triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-amwJRHsZLD1P1AeCdMHux0uyE7BxWB.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=1in,y=1in]
\clip (-0.5,-0.5) rectangle (4.5,3.5);

\begin{scope}

% Draw the triangle with base length 8 and height 6
\draw[thick] (0,0)--(4,0)--(2,3)--cycle;

% Draw the dashed height line
\draw[dashed, thick] (2,3)--(2,0);

% Draw the right angle indicator
\draw[thick] (2,0) rectangle ($(2,0)+(0.15,0.15)$);

% Label the base
\node[below] at (2,-0.2) {base};

% Label the height
\node[right] at (2.1,1.5) {height = 6};

% Label the base length
\node[below] at (2,-0.5) {8};

\end{scope}

\end{tikzpicture}
\end{document}",shubhra,1
Rebecca,,Yes,No,N/A,Yes,,Yes,,Yes,No,Yes,,Yes,"Two triangles showing scaled copy relationship, original triangle 3-4-5, scaled copy 6-8-10, with scale factor 2 labeled",triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-55P4luOwurxbX31Iqs8BXv6RPwQrlE.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}[x=1in,y=1in]

% Original triangle (3-4-5)
\begin{scope}[xshift=0in]
  \draw[thick] (0,0) -- (3,0) -- (3,4) -- cycle;
  
  % Label the sides
  \node at (1.5,-0.2) {3};
  \node at (3.2,2) {4};
  \node at (1.3,2.2) {5};
  
  % Label as original
  \node at (1.5,-0.6) {\textbf{Original}};
\end{scope}

% Scaled copy triangle (6-8-10)
\begin{scope}[xshift=5in]
  \draw[thick] (0,0) -- (6,0) -- (6,8) -- cycle;
  
  % Label the sides
  \node at (3,-0.2) {6};
  \node at (6.4,4) {8};
  \node at (2.6,4.4) {10};
  
  % Label as scaled copy
  \node at (3,-0.6) {\textbf{Scaled Copy}};
\end{scope}

% Arrow showing the relationship
\draw[->, thick, red] (4,2) -- (5,4);
\node at (4.5,3.2) [above, red] {\textbf{Scale factor: 2}};

\end{tikzpicture}
\end{document}",rebecca,2
All (IRR),,Yes,No,N/A,No,,Yes,,Yes,Yes,Yes,,Yes,"two triangles side by side, Triangle ABC with sides 4, 5, 6 and Triangle DEF with sides 6, 7.5, unknown",triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-NmKanmSTok2qpIqsAtGqJ7Y71b71V4.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}[x=0.8in,y=0.8in]

% Triangle ABC
\begin{scope}[xshift=0in]
\draw (0,0) node[vertex,label=225:$A$] (A) {};
\draw (2.5,0) node[vertex,label=315:$B$] (B) {};
\draw (1.25,2.165) node[vertex,label=90:$C$] (C) {};

\draw [line width = 1pt] (A.center)--(B.center) node[midway,below] {6} 
                          (B.center)--(C.center) node[midway,right] {5} 
                          (C.center)--(A.center) node[midway,left] {4};

\draw (A) node[vertex]{};
\draw (B) node[vertex]{};
\draw (C) node[vertex]{};
\end{scope}

% Triangle DEF  
\begin{scope}[xshift=4in]
\draw (0,0) node[vertex,label=225:$D$] (D) {};
\draw (3.75,0) node[vertex,label=315:$E$] (E) {};
\draw (1.875,3.247) node[vertex,label=90:$F$] (F) {};

\draw [line width = 1pt] (D.center)--(E.center) node[midway,below] {6} 
                          (E.center)--(F.center) node[midway,right] {7.5} 
                          (F.center)--(D.center) node[midway,left] {?};

\draw (D) node[vertex]{};
\draw (E) node[vertex]{};
\draw (F) node[vertex]{};
\end{scope}

\end{tikzpicture}
\end{document}",irr_consensus,3
Shubhra,,Yes,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,"right triangle, legs 4 units and 3 units, labeled",triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-etDYEPoQq9enJrJI5eCVyGdIqKYd62.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=1in,y=1in]

\coordinate (A) at (0,0);
\coordinate (B) at (4,0);
\coordinate (C) at (0,3);

\draw (A) -- (B) -- (C) -- cycle;

\draw[right angle symbol={C}{A}{B}];

\node[vertex,label=below left:{$A$}] at (A) {};
\node[vertex,label=below right:{$B$}] at (B) {};
\node[vertex,label=above left:{$C$}] at (C) {};

\node at (2,-0.3) {4 units};
\node at (-0.5,1.5) {3 units};
\node at (2.2,1.7) {5 units};

\end{tikzpicture}

\end{document}",shubhra,4
Vishal,,Yes,Yes,,No,N/A,Yes,,Yes,Yes,Yes,,Yes,right triangle on grid showing area of 15 square units,triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-i0f6ifflP9FwTKwK0oRMecmWSAAIwS.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}
\begin{axis}[FirstQuadrantLabeled,width=\HalfPage,height=\HalfPage,xmin=0,xmax=7,ymin=0,ymax=6,xlabel={},ylabel={},xlabel style={yshift=-8pt},ylabel style={xshift=-8pt},xtick={0,1,2,3,4,5,6,7},ytick={0,1,2,3,4,5,6},grid=major]

% Draw the right triangle with vertices at (1,1), (1,6), and (6,1)
\addplot[fill=LBlue, draw=black, thick] coordinates {(1,1) (1,6) (6,1) (1,1)};

% Mark the right angle at (1,1)
\draw[thick] (axis cs:1,1) rectangle (axis cs:1.3,1.3);

% Label the area in the center of the triangle
\node at (axis cs:2.7,2.7) {\large 15 square units};

% Add vertex markers
\node[bigvertex] at (axis cs:1,1) {};
\node[bigvertex] at (axis cs:1,6) {};
\node[bigvertex] at (axis cs:6,1) {};

\end{axis}
\end{tikzpicture}
\end{document}",vishal,6
Rebecca,,Yes,Yes,,Yes,,Yes,,No,Yes,Yes,,Yes,"right triangle with two sides 9 cm and 5 cm meeting at 90 degree angle, clearly labeled with measurements and right angle symbol",triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-RcyuzaTpZkoyOw3nyzBrymvD8xA70E.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=1in,y=1in]
\clip (-0.5,-0.5) rectangle (3,2.5);

\begin{scope}[scale=0.4]
% Define vertices of the right triangle
\coordinate (A) at (0,0);
\coordinate (B) at (9,0);
\coordinate (C) at (0,5);

% Draw the triangle
\draw[thick] (A) -- (B) -- (C) -- cycle;

% Draw right angle symbol
\draw[thick] (0,0.8) -- (0.8,0.8) -- (0.8,0);

% Add side labels
\node[below] at (4.5,0) {9 cm};
\node[left] at (0,2.5) {5 cm};

% Add vertices
\node[vertex] at (A) {};
\node[vertex] at (B) {};
\node[vertex] at (C) {};

\end{scope}

\end{tikzpicture}
\end{document}",rebecca,7
Vishal,,Yes,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,triangle with base 10 cm and height 4 cm,triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-ATxVtx0K6DLe0s1wiHEP9nnUc0KBah.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=1cm,y=1cm]
\clip (-0.5,-0.5) rectangle (11,5);

\begin{scope}
% Draw the triangle with light blue fill
\draw[fill=LBlue] (0,0)--(10,0)--(5,4)--cycle;

% Draw the dashed height line from apex to base
\draw[dashed] (5,4)--(5,0);

% Draw the right angle indicator
\draw[line width=0.5pt] (5,0) rectangle ($(5,0)+(0.3,0.3)$);

% Label the base
\node at (5,-0.4) {10 cm};
\draw[->] (2.5,-0.3)--(0,-0.3);
\draw[->] (7.5,-0.3)--(10,-0.3);

% Label the height
\node at (5.8,2) {4 cm};

\end{scope}

\end{tikzpicture}
\end{document}",vishal,8
Vishal,,Yes,No,N/A,No,,Yes,,Yes,Yes,Yes,,No,"two triangles ABC and DEF, triangle ABC on left with vertices labeled, triangle DEF on right with vertices labeled, triangles appear congruent but in different positions, mark corresponding sides and angles as congruent with tick marks and arc marks",triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-TTDFAztNck75eEid3YGgU0ZDGx5HIm.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=0.5in,y=0.5in]

% Triangle ABC on the left
\coordinate (A) at (0,0);
\coordinate (B) at (3,0);
\coordinate (C) at (1.5,2.6);

% Triangle DEF on the right (congruent but rotated and translated)
\coordinate (D) at (6,1);
\coordinate (E) at (8.5,3.6);
\coordinate (F) at (5.5,3.6);

% Draw Triangle ABC
\draw[thick] (A) -- (B) -- (C) -- cycle;

% Draw Triangle DEF
\draw[thick] (D) -- (E) -- (F) -- cycle;

% Label vertices
\node[vertex,label=below left:$A$] at (A) {};
\node[vertex,label=below right:$B$] at (B) {};
\node[vertex,label=above:$C$] at (C) {};

\node[vertex,label=below:$D$] at (D) {};
\node[vertex,label=above right:$E$] at (E) {};
\node[vertex,label=above left:$F$] at (F) {};

% Mark corresponding sides with tick marks
% Side AB corresponds to side DE
\draw[thick] ($(A)!0.4!(B) + (0,0.08)$) -- ($(A)!0.4!(B) + (0,-0.08)$);
\draw[thick] ($(A)!0.6!(B) + (0,0.08)$) -- ($(A)!0.6!(B) + (0,-0.08)$);

\draw[thick] ($(D)!0.4!(E) + (-0.06,0.06)$) -- ($(D)!0.4!(E) + (0.06,-0.06)$);
\draw[thick] ($(D)!0.6!(E) + (-0.06,0.06)$) -- ($(D)!0.6!(E) + (0.06,-0.06)$);

% Side BC corresponds to side EF
\draw[thick] ($(B)!0.4!(C) + (-0.08,0.05)$) -- ($(B)!0.4!(C) + (0.08,-0.05)$);
\draw[thick] ($(B)!0.5!(C) + (-0.08,0.05)$) -- ($(B)!0.5!(C) + (0.08,-0.05)$);
\draw[thick] ($(B)!0.6!(C) + (-0.08,0.05)$) -- ($(B)!0.6!(C) + (0.08,-0.05)$);

\draw[thick] ($(E)!0.4!(F) + (0,0.08)$) -- ($(E)!0.4!(F) + (0,-0.08)$);
\draw[thick] ($(E)!0.5!(F) + (0,0.08)$) -- ($(E)!0.5!(F) + (0,-0.08)$);
\draw[thick] ($(E)!0.6!(F) + (0,0.08)$) -- ($(E)!0.6!(F) + (0,-0.08)$);

% Side CA corresponds to side FD
\draw[thick] ($(C)!0.4!(A) + (0.08,0.05)$) -- ($(C)!0.4!(A) + (-0.08,-0.05)$);
\draw[thick] ($(C)!0.5!(A) + (0.08,0.05)$) -- ($(C)!0.5!(A) + (-0.08,-0.05)$);
\draw[thick] ($(C)!0.6!(A) + (0.08,0.05)$) -- ($(C)!0.6!(A) + (-0.08,-0.05)$);
\draw[thick] ($(C)!0.7!(A) + (0.08,0.05)$) -- ($(C)!0.7!(A) + (-0.08,-0.05)$);

\draw[thick] ($(F)!0.4!(D) + (0.06,0.06)$) -- ($(F)!0.4!(D) + (-0.06,-0.06)$);
\draw[thick] ($(F)!0.5!(D) + (0.06,0.06)$) -- ($(F)!0.5!(D) + (-0.06,-0.06)$);
\draw[thick] ($(F)!0.6!(D) + (0.06,0.06)$) -- ($(F)!0.6!(D) + (-0.06,-0.06)$);
\draw[thick] ($(F)!0.7!(D) + (0.06,0.06)$) -- ($(F)!0.7!(D) + (-0.06,-0.06)$);

% Mark corresponding angles with arc marks
% Angle A corresponds to angle D
\centerarc[thick](A)(0:60:0.2in);
\centerarc[thick](D)(240:300:0.2in);

% Angle B corresponds to angle E  
\centerarc[thick](B)(120:180:0.2in);
\centerarc[thick](B)(120:180:0.15in);
\centerarc[thick](E)(60:120:0.2in);
\centerarc[thick](E)(60:120:0.15in);

% Angle C corresponds to angle F
\centerarc[thick](C)(240:300:0.2in);
\centerarc[thick](C)(240:300:0.15in);
\centerarc[thick](C)(240:300:0.1in);
\centerarc[thick](F)(180:240:0.2in);
\centerarc[thick](F)(180:240:0.15in);
\centerarc[thick](F)(180:240:0.1in);

\end{tikzpicture}
\end{document}",vishal,9
Vishal,,Yes,No,N/A,No,N/A,Yes,,No,Yes,No,N/A,Yes,1 triangle,triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-WcLY6AeEClrRIOIhqiqX4UK0j269Fv.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}[x=1in,y=1in]
\clip (-0.5,-0.5) rectangle (1.5,1.5);

\begin{scope}[shift={(0.5,0.2)}]
\coordinate (A) at (0,0);
\coordinate (B) at (1,0);
\coordinate (C) at (0.5,0.866);

\draw (A)--(B)--(C)--(A);

\node[vertex] at (A) {};
\node[vertex] at (B) {};
\node[vertex] at (C) {};
\end{scope}
\end{tikzpicture}
\end{document}",vishal,10
All (IRR),,Yes,No,N/A,No,N/A,Yes,,Yes,Yes,Yes,,No,"triangle rotated sideways on grid, scalene triangle oriented with vertex pointing left, show 3 different heights perpendicular to each side, label h1 h2 h3",triangle,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-puF96PK03PIh0dwZyzoGuUz0rf1jYn.svg,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=0.5cm,y=0.5cm]

% Draw grid
\draw[help lines, step=0.5] (-2,-3) grid (6,4);

% Define triangle vertices (scalene triangle with vertex pointing left)
\coordinate (A) at (-1,1);  % Left vertex
\coordinate (B) at (4,3);   % Top right vertex  
\coordinate (C) at (3,-2);  % Bottom right vertex

% Draw triangle
\draw[thick, fill=LBlue, opacity=0.3] (A) -- (B) -- (C) -- cycle;

% Draw vertices
\node[vertex] at (A) {};
\node[vertex] at (B) {};
\node[vertex] at (C) {};

% Height from A to side BC (h1)
% First find the foot of perpendicular from A to BC
\coordinate (H1) at ($(B)!(A)!(C)$);
\draw[dashed, thick, red] (A) -- (H1);
\draw[line width=1pt] (H1) ++(-0.15,-0.1) rectangle ++(0.3,0.2);
\node[red] at ($(A)!0.5!(H1) + (0.3,0)$) {$h_1$};

% Height from B to side AC (h2)  
% Find the foot of perpendicular from B to AC
\coordinate (H2) at ($(A)!(B)!(C)$);
\draw[dashed, thick, blue] (B) -- (H2);
\draw[line width=1pt] (H2) ++(-0.1,-0.15) rectangle ++(0.2,0.3);
\node[blue] at ($(B)!0.5!(H2) + (-0.4,0.2)$) {$h_2$};

% Height from C to side AB (h3)
% Find the foot of perpendicular from C to AB  
\coordinate (H3) at ($(A)!(C)!(B)$);
\draw[dashed, thick, green!60!black] (C) -- (H3);
\draw[line width=1pt] (H3) ++(-0.15,-0.1) rectangle ++(0.3,0.2);
\node[green!60!black] at ($(C)!0.5!(H3) + (0.4,-0.3)$) {$h_3$};

% Extend sides slightly for clarity
\draw[thick] (A) -- (B);
\draw[thick] (B) -- (C);  
\draw[thick] (C) -- (A);

\end{tikzpicture}

\end{document}",irr_consensus,12
