diagram_id,main_category,subcategory,assignment_type,extraction_success,extraction_time_ms,extraction_cost,evaluation_time_ms,overall_score,overall_pass,angle_labels_matches_arcs_passed,angle_labels_matches_arcs_message,diagram_fully_in_canvas_passed,diagram_fully_in_canvas_message,labels_associated_with_elements_passed,labels_associated_with_elements_message,diagram_elements_dont_problematically_overlap_passed,diagram_elements_dont_problematically_overlap_message,diagram_elements_are_readable_size_passed,diagram_elements_are_readable_size_message,shape_outlines_are_closed_passed,shape_outlines_are_closed_message,core_mathematical_properties_of_shapes_correct_passed,core_mathematical_properties_of_shapes_correct_message,labeled_lengths_areas_match_proportions_passed,labeled_lengths_areas_match_proportions_message,schema_validation_passed,schema_validation_message
1,2d shapes,triangle,unknown,True,3699.582099914551,0.0010476,6.410121917724609,0.8571428571428571,False,True,No angle labels present; Right-angle symbols consistent,False,"node bbox ((142.3, -42.2) to (146.8, -36.1)) exceeds canvas allowance (+/- 5.0pt)",True,Labels assigned (3 total): Label 'base' -> segment (distance=14.5pt); Label 'height = 6' -> segment (distance=7.2pt); Label '8' -> segment (distance=36.1pt) (ties noted: Numeric label '8' ties edges (difference=0.0pt)),True,No problematic overlaps detected,True,All elements >= 2.6pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,Not enough labeled pairs to compare proportions,,
2,2d shapes,triangle,unknown,True,6273.7860679626465,0.0011136,18.758058547973633,0.7142857142857143,False,,No angle indicators to check,True,No canvas constraints applied,True,Labels assigned (9 total): Label '3' -> segment (distance=11.4pt); Label '4' -> segment (distance=11.8pt); Label '5' -> segment (distance=16.6pt); Label '\textbf{Original}' -> segment (distance=39.2pt); Label '6' -> segment (distance=11.4pt); Label '8' -> segment (distance=26.6pt); Label '10' -> segment (distance=35.1pt); Label '\textbf{Scaled Copy}' -> segment (distance=39.2pt); Label '\textbf{Scale factor: 2}' -> segment (distance=0.0pt),True,No problematic overlaps detected,False,Elements below readability threshold 6.3pt: node (4.5pt); node (4.5pt); node (4.5pt) (+3 more),True,All shapes marked closed,True,Shape parameters are non-degenerate,False,"Length proportion mismatch: ((no id), label=3) vs ((no id), label=2) → rel. error 0.106; Length proportion mismatch: ((no id), label=4) vs ((no id), label=2) → rel. error 0.106; Length proportion mismatch: ((no id), label=5) vs ((no id), label=2) → rel. error 0.106 (+3 more)",,
3,2d shapes,triangle,unknown,True,5221.597909927368,0.0011272,10.938882827758787,0.7142857142857143,False,,No angle indicators to check,True,No canvas constraints applied,False,Text label 'E' is 231.3pt from nearest element (limit 100.0pt); Text label 'F' is 198.3pt from nearest element (limit 100.0pt),True,No problematic overlaps detected,True,All elements >= 1.9pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,False,"Length proportion mismatch: ((no id), label=6) vs ((no id), label=5) → rel. error 0.167; Length proportion mismatch: ((no id), label=6) vs ((no id), label=4) → rel. error 0.333; Length proportion mismatch: ((no id), label=6) vs ((no id), label=6) → rel. error 0.333 (+5 more)",,
4,2d shapes,triangle,unknown,True,3859.128952026367,0.0010329,4.601001739501953,1.0,True,True,No angle labels present; Right-angle symbols consistent,True,No canvas constraints applied,True,Labels assigned (3 total): Label '4 units' -> shape_edge (triangle) (distance=18.7pt); Label '3 units' -> shape_edge (triangle) (distance=23.3pt); Label '5 units' -> shape_edge (triangle) (distance=10.1pt),True,No problematic overlaps detected,True,All elements >= 2.4pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,Not enough labeled pairs to compare proportions,,
5,2d shapes,triangle,unknown,True,4105.453968048096,0.0010498,6.180047988891602,0.7142857142857143,False,False,"Right-angle symbol at (126.8, 3.3) does not align with two diagram edges",False,"node bbox ((62.4, -22.5) to (67.7, -16.5)) exceeds canvas allowance (+/- 5.0pt)",True,Labels assigned (6 total): Label 'A' -> shape (triangle) (inside shape); Label 'B' -> shape (triangle) (inside shape); Label 'C' -> shape (triangle) (inside shape); Label 'b' -> shape (triangle) (distance=16.5pt); Label 'a' -> shape (triangle) (distance=17.3pt); Label 'c' -> shape (triangle) (distance=10.1pt),True,No problematic overlaps detected,True,All elements >= 1.3pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,No numeric labels to check,,
6,2d shapes,triangle,unknown,True,3491.843938827514,0.0010744,4.228830337524414,1.0,True,True,No angle labels present; Right-angle symbols consistent,True,No canvas constraints applied,True,Labels assigned (1 total): Label '15 square units' -> shape_edge (triangle) (distance=8.5pt),True,No problematic overlaps detected,True,All elements >= 1.4pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,Not enough labeled pairs to compare proportions,,
7,2d shapes,triangle,unknown,True,5815.918922424316,0.0010612,7.658958435058594,0.7142857142857143,False,,No angle indicators to check,False,"shapes bbox ((0.0, 0.0) to (260.2, 144.5)) exceeds canvas allowance (+/- 5.0pt)",True,Labels assigned (2 total): Label '9 cm' -> shape_edge (triangle) (distance=0.0pt); Label '5 cm' -> shape_edge (triangle) (distance=0.0pt),True,No problematic overlaps detected,True,All elements >= 1.5pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,False,"Length proportion mismatch: ((no id), label=9) vs ((no id), label=5) → rel. error 0.444",,
8,2d shapes,triangle,unknown,True,4633.268117904663,0.0010533,17.066001892089844,1.0,True,True,No angle labels present; Right-angle symbols consistent,True,Diagram is fully in canvas,True,Labels assigned (2 total): Label '10 cm' -> shape_edge (triangle) (distance=8.4pt); Label '4 cm' -> segment (distance=13.7pt) (ties noted: Numeric label '10 cm' ties edges (difference=0.0pt)),True,No problematic overlaps detected,True,All elements >= 1.3pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,Not enough labeled pairs to compare proportions,,
9,2d shapes,triangle,unknown,True,14478.451013565063,0.0015834,56.83612823486328,0.8333333333333334,False,N/A,No angle labels or right-angle symbols to evaluate,True,No canvas constraints applied,,No labels to check,False,"Arc start endpoint (215.0, 33.0) is 3.6pt from nearest edge; Arc end endpoint (218.6, 33.0) is 3.6pt from nearest edge; Arc start endpoint (309.0, 133.2) is 1.8pt from nearest edge (+7 more)",True,All elements >= 1.5pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,No numeric labels to check,,
10,2d shapes,triangle,unknown,True,4633.85796546936,0.0010221,8.029937744140625,0.8,False,,No angle indicators to check,False,"shapes bbox ((72.3, 28.9) to (144.5, 91.5)) exceeds canvas allowance (+/- 5.0pt)",,No labels to check,True,No problematic overlaps detected,True,All elements >= 0.8pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,No numeric labels to check,,
