diagram_id,model,main_category,subcategory,extraction_success,extraction_time_ms,prompt_tokens,completion_tokens,evaluation_time_ms,overall_score,overall_pass,angle_labels_matches_arcs_passed,angle_labels_matches_arcs_message,diagram_fully_in_canvas_passed,diagram_fully_in_canvas_message,labels_associated_with_elements_passed,labels_associated_with_elements_message,diagram_elements_dont_problematically_overlap_passed,diagram_elements_dont_problematically_overlap_message,diagram_elements_are_readable_size_passed,diagram_elements_are_readable_size_message,shape_outlines_are_closed_passed,shape_outlines_are_closed_message,core_mathematical_properties_of_shapes_correct_passed,core_mathematical_properties_of_shapes_correct_message,labeled_lengths_areas_match_proportions_passed,labeled_lengths_areas_match_proportions_message,schema_validation_passed,schema_validation_message
1,gpt-4.1-mini,2d shapes,triangle,True,2973.481749999337,3100,188,4.916707999655046,0.8571428571428571,False,True,No angle labels present; Right-angle symbols consistent,False,"node bbox ((142.3, -42.2) to (146.8, -36.1)) exceeds canvas allowance (+/- 5.0pt)",True,Labels assigned (3 total): Label 'base' -> segment (distance=14.5pt); Label 'height = 6' -> segment (distance=7.2pt); Label '8' -> segment (distance=36.1pt) (ties noted: Numeric label '8' ties edges (difference=0.0pt)),True,No problematic overlaps detected,True,All elements >= 2.6pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,N/A,Not enough labeled pairs to compare proportions,,
2,gpt-4.1-mini,2d shapes,triangle,True,5235.296582992305,3225,316,15.882207997492515,0.7142857142857143,False,N/A,No angle indicators to check,True,No canvas constraints applied,True,Labels assigned (9 total): Label '3' -> shape_edge (polygon) (distance=11.4pt); Label '4' -> shape_edge (polygon) (distance=11.8pt); Label '5' -> shape_edge (polygon) (distance=16.6pt); Label '\textbf{Original}' -> shape (polygon) (distance=39.2pt); Label '6' -> shape_edge (polygon) (distance=11.4pt); Label '8' -> shape_edge (polygon) (distance=88.9pt); Label '10' -> shape_edge (polygon) (distance=35.6pt); Label '\textbf{Scaled Copy}' -> shape (polygon) (distance=39.2pt); Label '\textbf{Scale factor: 2}' -> segment (distance=0.0pt),True,No problematic overlaps detected,False,Elements below readability threshold 6.3pt: node (4.5pt); node (4.5pt); node (4.5pt) (+3 more),True,All shapes marked closed,True,Shape parameters are non-degenerate,False,"Length proportion mismatch: ((no id), label=3) vs ((no id), label=4) → rel. error 0.333; Length proportion mismatch: ((no id), label=3) vs ((no id), label=5) → rel. error 0.667; Length proportion mismatch: ((no id), label=3) vs ((no id), label=6) → rel. error 1.000 (+18 more)",,
3,gpt-4.1-mini,2d shapes,triangle,True,4983.095749994391,3276,280,11.426833007135428,0.7142857142857143,False,N/A,No angle indicators to check,True,No canvas constraints applied,False,Text label 'E' is 231.3pt from nearest element (limit 100.0pt); Text label 'F' is 198.3pt from nearest element (limit 100.0pt),True,No problematic overlaps detected,True,All elements >= 2.0pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,False,"Length proportion mismatch: ((no id), label=6) vs ((no id), label=5) → rel. error 0.167; Length proportion mismatch: ((no id), label=6) vs ((no id), label=4) → rel. error 0.333; Length proportion mismatch: ((no id), label=6) vs ((no id), label=6) → rel. error 0.333 (+5 more)",,
4,gpt-4.1-mini,2d shapes,triangle,True,4883.188000007067,3069,167,5.543082996155135,0.7142857142857143,False,True,No angle labels present; Right-angle symbols consistent,True,No canvas constraints applied,True,Labels assigned (6 total): Label 'A' -> shape (polygon) (inside shape); Label 'B' -> shape (polygon) (inside shape); Label 'C' -> shape (polygon) (inside shape); Label '4 units' -> shape_edge (polygon) (distance=18.7pt); Label '3 units' -> shape_edge (polygon) (distance=23.3pt); Label '5 units' -> shape_edge (polygon) (distance=10.1pt),True,No problematic overlaps detected,False,Elements below readability threshold 2.5pt: rectangle (0.0pt),True,All shapes marked closed,False,Rectangle has zero area,N/A,Not enough labeled pairs to compare proportions,,
5,gpt-4.1-mini,2d shapes,triangle,True,3825.771417003125,3102,198,10.283084004186094,0.5714285714285714,False,True,No angle labels present; Right-angle symbols consistent,False,"node bbox ((62.4, -22.5) to (67.7, -16.5)) exceeds canvas allowance (+/- 5.0pt)",True,Labels assigned (6 total): Label 'A' -> shape (triangle) (inside shape); Label 'B' -> shape (triangle) (inside shape); Label 'C' -> shape (triangle) (inside shape); Label 'b' -> shape (triangle) (distance=16.5pt); Label 'a' -> shape (triangle) (distance=17.3pt); Label 'c' -> shape (triangle) (distance=10.1pt),True,No problematic overlaps detected,False,Elements below readability threshold 1.3pt: rectangle (0.0pt),True,All shapes marked closed,False,Rectangle has zero area,N/A,No numeric labels to check,,
6,gpt-4.1-mini,2d shapes,triangle,True,2395.3216670051916,3184,130,7.066749996738508,1.0,True,True,No angle labels present; Right-angle symbols consistent,True,No canvas constraints applied,True,Labels assigned (1 total): Label '15 square units' -> shape_edge (polygon) (distance=8.5pt),True,No problematic overlaps detected,True,All elements >= 1.4pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,N/A,Not enough labeled pairs to compare proportions,,
7,gpt-4.1-mini,2d shapes,triangle,True,2893.0984170001466,3117,205,9.070374988368712,0.7142857142857143,False,N/A,No angle indicators to check,False,"shapes bbox ((0.0, 0.0) to (260.2, 144.5)) exceeds canvas allowance (+/- 5.0pt)",True,Labels assigned (2 total): Label '9 cm' -> shape_edge (triangle) (distance=0.0pt); Label '5 cm' -> shape_edge (triangle) (distance=0.0pt),True,No problematic overlaps detected,True,All elements >= 1.5pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,False,"Length proportion mismatch: ((no id), label=9) vs ((no id), label=5) → rel. error 0.444",,
8,gpt-4.1-mini,2d shapes,triangle,True,4156.028541998239,3110,213,4.4977079960517585,1.0,True,True,No angle labels present; Right-angle symbols consistent,True,Diagram is fully in canvas,True,Labels assigned (2 total): Label '10 cm' -> shape_edge (triangle) (distance=8.4pt); Label '4 cm' -> segment (distance=13.7pt) (ties noted: Numeric label '10 cm' ties edges (difference=0.0pt)),True,No problematic overlaps detected,True,All elements >= 1.3pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,N/A,Not enough labeled pairs to compare proportions,,
9,gpt-4.1-mini,2d shapes,triangle,True,12661.85454200604,4271,861,37.93545800726861,0.8333333333333334,False,N/A,No angle labels or right-angle symbols to evaluate,True,No canvas constraints applied,True,Labels assigned (6 total): Label 'A' -> shape (triangle) (inside shape); Label 'B' -> shape (triangle) (inside shape); Label 'C' -> shape (triangle) (inside shape); Label 'D' -> shape (triangle) (inside shape); Label 'E' -> shape (triangle) (inside shape); Label 'F' -> shape (triangle) (inside shape),False,"Arc start endpoint (215.0, 33.0) is 3.6pt from nearest edge; Arc end endpoint (218.6, 33.0) is 3.6pt from nearest edge; Arc start endpoint (309.0, 133.2) is 3.6pt from nearest edge (+9 more)",True,All elements >= 1.4pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,N/A,No numeric labels to check,,
10,gpt-4.1-mini,2d shapes,triangle,True,2877.52612499753,3030,157,4.131834008148871,1.0,True,N/A,No angle indicators to check,True,Diagram is fully in canvas,N/A,No labels to check,True,No problematic overlaps detected,True,All elements >= 0.6pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,N/A,No numeric labels to check,,
