diagram_id,main_category,subcategory,assignment_type,extraction_success,extraction_time_ms,extraction_cost,evaluation_time_ms,overall_score,overall_pass,angle_labels_matches_arcs_passed,angle_labels_matches_arcs_message,diagram_fully_in_canvas_passed,diagram_fully_in_canvas_message,labels_associated_with_elements_passed,labels_associated_with_elements_message,diagram_elements_dont_problematically_overlap_passed,diagram_elements_dont_problematically_overlap_message,diagram_elements_are_readable_size_passed,diagram_elements_are_readable_size_message,shape_outlines_are_closed_passed,shape_outlines_are_closed_message,core_mathematical_properties_of_shapes_correct_passed,core_mathematical_properties_of_shapes_correct_message,labeled_lengths_areas_match_proportions_passed,labeled_lengths_areas_match_proportions_message,schema_validation_passed,schema_validation_message
1,2d shapes,triangle,unknown,True,11840.093851089478,0.007704,6.134033203125,0.8571428571428571,False,True,No angle labels present; Right-angle symbols consistent,False,"node bbox ((142.3, -42.2) to (146.8, -36.1)) exceeds canvas allowance (+/- 5.0pt)",True,Labels assigned (3 total): Label 'base' -> segment (distance=14.5pt); Label 'height = 6' -> segment (distance=7.2pt); Label '8' -> segment (distance=36.1pt) (ties noted: Numeric label '8' ties edges (difference=0.0pt)),True,No problematic overlaps detected,True,All elements >= 2.6pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,Not enough labeled pairs to compare proportions,,
2,2d shapes,triangle,unknown,True,18739.643812179565,0.009034,18.383026123046875,0.7142857142857143,False,,No angle indicators to check,True,No canvas constraints applied,True,Labels assigned (9 total): Label '3' -> shape_edge (polygon) (distance=11.4pt); Label '4' -> shape_edge (polygon) (distance=11.8pt); Label '5' -> shape_edge (polygon) (distance=16.6pt); Label '\textbf{Original}' -> shape (polygon) (distance=39.2pt); Label '6' -> shape_edge (polygon) (distance=11.4pt); Label '8' -> shape_edge (polygon) (distance=88.9pt); Label '10' -> shape_edge (polygon) (distance=35.6pt); Label '\textbf{Scaled Copy}' -> shape (polygon) (distance=39.2pt); Label '\textbf{Scale factor: 2}' -> segment (distance=0.0pt),True,No problematic overlaps detected,False,Elements below readability threshold 6.3pt: node (4.5pt); node (4.5pt); node (4.5pt) (+3 more),True,All shapes marked closed,True,Shape parameters are non-degenerate,False,"Length proportion mismatch: ((no id), label=3) vs ((no id), label=4) → rel. error 0.333; Length proportion mismatch: ((no id), label=3) vs ((no id), label=5) → rel. error 0.667; Length proportion mismatch: ((no id), label=3) vs ((no id), label=6) → rel. error 1.000 (+18 more)",,
3,2d shapes,triangle,unknown,True,23291.16487503052,0.010416,8.473873138427734,0.7142857142857143,False,,No angle indicators to check,True,No canvas constraints applied,True,Labels assigned (6 total): Label 'A' -> shape (polygon) (inside shape); Label 'B' -> shape (polygon) (inside shape); Label 'C' -> shape (polygon) (inside shape); Label 'D' -> shape (polygon) (inside shape); Label 'E' -> shape (polygon) (inside shape); Label 'F' -> shape (polygon) (inside shape),False,Node 'A' sits directly on top of a diagram edge; Node 'B' sits directly on top of a diagram edge; Node 'C' sits directly on top of a diagram edge (+3 more),True,All elements >= 1.9pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,False,"Length proportion mismatch: ((no id), label=6) vs ((no id), label=5) → rel. error 0.167; Length proportion mismatch: ((no id), label=6) vs ((no id), label=4) → rel. error 0.333; Length proportion mismatch: ((no id), label=6) vs ((no id), label=6) → rel. error 0.333 (+5 more)",,
4,2d shapes,triangle,unknown,True,9674.065351486206,0.007098,6.276845932006836,1.0,True,,No angle indicators to check,True,No canvas constraints applied,True,Labels assigned (6 total): Label 'A' -> shape (polygon) (inside shape); Label 'B' -> shape (polygon) (inside shape); Label 'C' -> shape (polygon) (inside shape); Label '4 units' -> shape_edge (polygon) (distance=18.7pt); Label '3 units' -> shape_edge (polygon) (distance=23.3pt); Label '5 units' -> shape_edge (polygon) (distance=10.1pt),True,No problematic overlaps detected,True,All elements >= 2.5pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,Not enough labeled pairs to compare proportions,,
5,2d shapes,triangle,unknown,True,8143.695831298828,0.007556,13.19289207458496,0.8333333333333334,False,,No angle indicators to check,False,"node bbox ((62.4, -22.5) to (67.7, -16.5)) exceeds canvas allowance (+/- 5.0pt)",True,Labels assigned (6 total): Label 'A' -> shape (polygon) (inside shape); Label 'B' -> shape (polygon) (inside shape); Label 'C' -> shape (polygon) (inside shape); Label 'b' -> shape (polygon) (distance=16.5pt); Label 'a' -> shape (polygon) (distance=17.3pt); Label 'c' -> shape (polygon) (distance=10.1pt),True,No problematic overlaps detected,True,All elements >= 1.3pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,No numeric labels to check,,
6,2d shapes,triangle,unknown,True,7100.369930267334,0.007008,8.554935455322266,1.0,True,True,No angle labels present; Right-angle symbols consistent,True,No canvas constraints applied,True,Labels assigned (1 total): Label '15 square units' -> shape_edge (polygon) (distance=8.5pt),True,No problematic overlaps detected,True,All elements >= 1.4pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,Not enough labeled pairs to compare proportions,,
7,2d shapes,triangle,unknown,True,17875.21195411682,0.0094019999999999,8.349895477294922,0.75,False,True,No angle labels present; Right-angle symbols consistent,False,"shapes bbox ((0.0, 0.0) to (260.2, 144.5)) exceeds canvas allowance (+/- 5.0pt)",True,Labels assigned (2 total): Label '9 cm' -> shape_edge (polygon) (distance=0.0pt); Label '5 cm' -> shape_edge (polygon) (distance=0.0pt),True,No problematic overlaps detected,True,All elements >= 1.5pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,False,"Length proportion mismatch: ((no id), label=9) vs ((no id), label=5) → rel. error 0.444",,
8,2d shapes,triangle,unknown,True,5415.791273117065,0.008084,10.06007194519043,1.0,True,True,No angle labels present; Right-angle symbols consistent,True,Diagram is fully in canvas,True,Labels assigned (2 total): Label '10 cm' -> shape_edge (polygon) (distance=8.4pt); Label '4 cm' -> segment (distance=13.7pt) (ties noted: Numeric label '10 cm' ties edges (difference=0.0pt)),True,No problematic overlaps detected,True,All elements >= 1.3pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,Not enough labeled pairs to compare proportions,,
9,2d shapes,triangle,unknown,True,56232.306241989136,0.0212139999999999,58.449745178222656,0.8571428571428571,False,N/A,No angle labels or right-angle symbols to evaluate,True,No canvas constraints applied,True,Labels assigned (6 total): Label 'A' -> shape (polygon) (inside shape); Label 'B' -> shape (polygon) (inside shape); Label 'C' -> shape (polygon) (inside shape); Label 'D' -> shape (polygon) (inside shape); Label 'E' -> shape (polygon) (inside shape); Label 'F' -> shape (polygon) (inside shape),False,"Arc start endpoint (213.2, 29.9) is 7.2pt from nearest edge; Arc end endpoint (220.4, 29.9) is 7.2pt from nearest edge; Arc start endpoint (310.8, 136.3) is 7.2pt from nearest edge (+9 more)",True,All elements >= 1.4pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,No numeric labels to check,,
10,2d shapes,triangle,unknown,True,12649.36590194702,0.0073479999999999,2.2656917572021484,1.0,True,,No angle indicators to check,True,Diagram is fully in canvas,,No labels to check,True,No problematic overlaps detected,True,All elements >= 0.6pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,No numeric labels to check,,
