diagram_id,main_category,subcategory,assignment_type,extraction_success,extraction_time_ms,extraction_cost,evaluation_time_ms,overall_score,overall_pass,angle_labels_matches_arcs_passed,angle_labels_matches_arcs_message,diagram_fully_in_canvas_passed,diagram_fully_in_canvas_message,labels_associated_with_elements_passed,labels_associated_with_elements_message,diagram_elements_dont_problematically_overlap_passed,diagram_elements_dont_problematically_overlap_message,diagram_elements_are_readable_size_passed,diagram_elements_are_readable_size_message,shape_outlines_are_closed_passed,shape_outlines_are_closed_message,core_mathematical_properties_of_shapes_correct_passed,core_mathematical_properties_of_shapes_correct_message,labeled_lengths_areas_match_proportions_passed,labeled_lengths_areas_match_proportions_message,schema_validation_passed,schema_validation_message
100,2d shapes,triangle,unknown,True,74063.73190879822,0.0032614999999999,2.707958221435547,1.0,True,,No angle indicators to check,True,No canvas constraints applied,,No labels to check,True,No problematic overlaps detected,True,All elements >= 2.3pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,No numeric labels to check,,
101,2d shapes,triangle,unknown,True,20847.913026809692,0.00353425,14.067888259887695,0.875,False,True,No angle labels present; Right-angle symbols consistent,True,No canvas constraints applied,True,Labels assigned (5 total): Label 'base = 5' -> segment (distance=5.4pt); Label 'height = 6' -> segment (distance=0.0pt); Label 'Triangle A' -> segment (distance=5.7pt); Label '5' -> segment (distance=0.0pt); Label '6' -> segment (distance=0.0pt) (ties noted: Numeric label 'height = 6' ties edges (difference=0.0pt)),False,Nodes 'height = 6' and '6' overlap (27.2 pt²),True,All elements >= 1.4pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,True,Labeled lengths/areas match measured proportions,,
102,2d shapes,triangle,unknown,True,21411.932945251465,0.003734,4.673004150390625,1.0,True,N/A,No angle labels or right-angle symbols to evaluate,True,Diagram is fully in canvas,,No labels to check,True,No problematic overlaps detected,True,All elements >= 1.4pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,No numeric labels to check,,
103,2d shapes,triangle,unknown,True,92126.81436538696,0.00519375,35.30001640319824,0.75,False,N/A,No angle labels or right-angle symbols to evaluate,True,No canvas constraints applied,True,Labels assigned (12 total): Label 'A' -> shape (polygon) (inside shape); Label 'B' -> shape (polygon) (inside shape); Label 'C' -> shape (polygon) (inside shape); Label '6' -> shape_edge (polygon) (distance=5.7pt); Label '4' -> shape_edge (polygon) (distance=2.7pt); Label '5' -> shape_edge (polygon) (distance=2.7pt); Label 'D' -> shape (polygon) (inside shape); Label 'E' -> shape (polygon) (inside shape); Label 'F' -> shape (polygon) (inside shape); Label '3' -> segment (distance=5.7pt); Label '2' -> shape_edge (polygon) (distance=2.7pt); Label '2.5' -> shape_edge (polygon) (distance=2.7pt) (ties noted: Numeric label '6' ties edges (difference=0.0pt); Numeric label '3' ties edges (difference=0.0pt)),False,"Arc end endpoint (27.8, 13.9) is 13.9pt from nearest edge; Arc end endpoint (145.7, 13.9) is 13.9pt from nearest edge; Arc start endpoint (86.7, 86.7) is 17.3pt from nearest edge (+9 more)",True,All elements >= 1.3pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,False,"Length proportion mismatch: ((no id), label=6) vs ((no id), label=4) → rel. error 0.333; Length proportion mismatch: ((no id), label=6) vs ((no id), label=5) → rel. error 0.068; Length proportion mismatch: ((no id), label=6) vs ((no id), label=3) → rel. error 0.342 (+11 more)",,
104,2d shapes,triangle,unknown,True,33051.16105079651,0.0048985,12.228012084960938,0.8571428571428571,False,True,Angle labels match arcs (3/3); No right-angle symbols present,True,No canvas constraints applied,True,Labels assigned (3 total): Label '28°' -> arc (distance=25.9pt); Label '76°' -> arc (distance=18.4pt); Label '76°' -> arc (distance=18.4pt),False,"Arc start endpoint (-3.5, 112.4) is 3.9pt from nearest edge; Arc end endpoint (3.5, 112.4) is 3.9pt from nearest edge; Arc end endpoint (-69.6, 10.5) is 2.9pt from nearest edge (+1 more)",True,All elements >= 1.3pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,No numeric labels to check,,
105,2d shapes,triangle,unknown,True,15931.098222732544,0.0024305,1.9986629486083984,1.0,True,,No angle indicators to check,True,No canvas constraints applied,,No labels to check,True,No problematic overlaps detected,True,All elements >= 1.4pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,No numeric labels to check,,
106,2d shapes,triangle,unknown,True,13835.474967956545,0.002081,0.7078647613525391,1.0,True,,No angle indicators to check,True,No canvas constraints applied,,No labels to check,True,No problematic overlaps detected,True,All elements >= 1.7pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,No numeric labels to check,,
107,2d shapes,triangle,unknown,True,69180.67979812622,0.0029115,25.933265686035156,1.0,True,,No angle indicators to check,True,No canvas constraints applied,,No labels to check,True,No problematic overlaps detected,True,All elements >= 1.4pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,No numeric labels to check,,
108,2d shapes,triangle,unknown,True,18923.01297187805,0.0031544999999999,3.2858848571777344,1.0,True,True,No angle labels present; Right-angle symbols consistent,True,No canvas constraints applied,,No labels to check,True,No problematic overlaps detected,True,All elements >= 1.1pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,No numeric labels to check,,
109,2d shapes,rectangle,unknown,True,8055.273056030273,0.00164025,1.9741058349609375,1.0,True,N/A,No angle labels or right-angle symbols to evaluate,True,No canvas constraints applied,True,Labels assigned (1 total): Label 'Copy D' -> rectangle (distance=6.7pt),True,No problematic overlaps detected,True,All elements >= 0.5pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,No numeric labels to check,,
