diagram_id,main_category,subcategory,assignment_type,extraction_success,extraction_time_ms,extraction_cost,evaluation_time_ms,overall_score,overall_pass,angle_labels_matches_arcs_passed,angle_labels_matches_arcs_message,diagram_fully_in_canvas_passed,diagram_fully_in_canvas_message,labels_associated_with_elements_passed,labels_associated_with_elements_message,diagram_elements_dont_problematically_overlap_passed,diagram_elements_dont_problematically_overlap_message,diagram_elements_are_readable_size_passed,diagram_elements_are_readable_size_message,shape_outlines_are_closed_passed,shape_outlines_are_closed_message,core_mathematical_properties_of_shapes_correct_passed,core_mathematical_properties_of_shapes_correct_message,labeled_lengths_areas_match_proportions_passed,labeled_lengths_areas_match_proportions_message,schema_validation_passed,schema_validation_message
1,2d shapes,triangle,unknown,True,18521.03805541992,0.0103125,6.280183792114258,0.8571428571428571,False,True,No angle labels present; Right-angle symbols consistent,False,"node bbox ((142.3, -42.2) to (146.8, -36.1)) exceeds canvas allowance (+/- 5.0pt)",True,Labels assigned (3 total): Label 'base' -> segment (distance=14.5pt); Label 'height = 6' -> segment (distance=7.2pt); Label '8' -> segment (distance=36.1pt) (ties noted: Numeric label '8' ties edges (difference=0.0pt)),True,No problematic overlaps detected,True,All elements >= 2.6pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,Not enough labeled pairs to compare proportions,,
2,2d shapes,triangle,unknown,True,33704.58984375,0.01565875,18.980741500854492,0.7142857142857143,False,,No angle indicators to check,True,No canvas constraints applied,True,Labels assigned (9 total): Label '3' -> shape_edge (triangle) (distance=11.4pt); Label '4' -> shape_edge (triangle) (distance=11.8pt); Label '5' -> shape_edge (triangle) (distance=16.6pt); Label '\textbf{Original}' -> shape (triangle) (distance=39.2pt); Label '6' -> shape_edge (triangle) (distance=11.4pt); Label '8' -> shape_edge (triangle) (distance=26.6pt); Label '10' -> shape_edge (triangle) (distance=35.1pt); Label '\textbf{Scaled Copy}' -> shape (triangle) (distance=39.2pt); Label '\textbf{Scale factor: 2}' -> segment (distance=0.0pt),True,No problematic overlaps detected,False,Elements below readability threshold 6.3pt: node (4.5pt); node (4.5pt); node (4.5pt) (+3 more),True,All shapes marked closed,True,Shape parameters are non-degenerate,False,"Length proportion mismatch: ((no id), label=3) vs ((no id), label=4) → rel. error 0.333; Length proportion mismatch: ((no id), label=3) vs ((no id), label=5) → rel. error 0.667; Length proportion mismatch: ((no id), label=3) vs ((no id), label=6) → rel. error 1.000 (+18 more)",,
3,2d shapes,triangle,unknown,True,75636.4049911499,0.0278225,17.633676528930664,0.8571428571428571,False,,No angle indicators to check,True,No canvas constraints applied,True,Labels assigned (6 total): Label '6' -> segment (distance=0.0pt); Label '5' -> segment (distance=0.0pt); Label '4' -> segment (distance=0.0pt); Label '6' -> segment (distance=0.0pt); Label '7.5' -> segment (distance=0.0pt); Label '?' -> segment (distance=0.0pt),True,No problematic overlaps detected,True,All elements >= 1.9pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,False,"Length proportion mismatch: ((no id), label=6) vs ((no id), label=5) → rel. error 0.167; Length proportion mismatch: ((no id), label=6) vs ((no id), label=4) → rel. error 0.333; Length proportion mismatch: ((no id), label=6) vs ((no id), label=6) → rel. error 0.333 (+5 more)",,
4,2d shapes,triangle,unknown,True,33414.732217788696,0.01284375,4.683971405029297,1.0,True,,No angle indicators to check,True,No canvas constraints applied,True,Labels assigned (3 total): Label '4 units' -> shape_edge (polygon) (distance=18.7pt); Label '3 units' -> shape_edge (polygon) (distance=23.3pt); Label '5 units' -> shape_edge (polygon) (distance=10.1pt),True,No problematic overlaps detected,True,All elements >= 2.4pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,Not enough labeled pairs to compare proportions,,
5,2d shapes,triangle,unknown,True,17549.23915863037,0.013255,8.21995735168457,0.8333333333333334,False,,No angle indicators to check,False,"node bbox ((62.4, -22.5) to (67.7, -16.5)) exceeds canvas allowance (+/- 5.0pt)",True,Labels assigned (3 total): Label 'b' -> shape (triangle) (distance=16.5pt); Label 'a' -> shape (triangle) (distance=17.3pt); Label 'c' -> shape (triangle) (distance=10.1pt),True,No problematic overlaps detected,True,All elements >= 1.2pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,No numeric labels to check,,
6,2d shapes,triangle,unknown,True,18481.500148773193,0.0129475,4.29987907409668,1.0,True,True,No angle labels present; Right-angle symbols consistent,True,No canvas constraints applied,True,Labels assigned (1 total): Label '15 square units' -> shape_edge (polygon) (distance=8.5pt),True,No problematic overlaps detected,True,All elements >= 1.4pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,Not enough labeled pairs to compare proportions,,
7,2d shapes,triangle,unknown,True,26203.394889831543,0.0160775,38.59829902648926,0.7142857142857143,False,,No angle indicators to check,False,"shapes bbox ((0.0, 0.0) to (260.2, 144.5)) exceeds canvas allowance (+/- 5.0pt)",True,Labels assigned (2 total): Label '9 cm' -> shape_edge (polygon) (distance=0.0pt); Label '5 cm' -> shape_edge (polygon) (distance=0.0pt),True,No problematic overlaps detected,True,All elements >= 1.5pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,False,"Length proportion mismatch: ((no id), label=9) vs ((no id), label=5) → rel. error 0.444",,
8,2d shapes,triangle,unknown,True,24379.164218902588,0.011715,9.949922561645508,1.0,True,True,No angle labels present; Right-angle symbols consistent,True,Diagram is fully in canvas,True,Labels assigned (2 total): Label '10 cm' -> shape_edge (triangle) (distance=8.4pt); Label '4 cm' -> segment (distance=13.7pt) (ties noted: Numeric label '10 cm' ties edges (difference=0.0pt)),True,No problematic overlaps detected,True,All elements >= 1.3pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,Not enough labeled pairs to compare proportions,,
9,2d shapes,triangle,unknown,True,85811.48481369019,0.04135625,54.57305908203125,0.8333333333333334,False,N/A,No angle labels or right-angle symbols to evaluate,True,No canvas constraints applied,,No labels to check,False,"Arc start endpoint (209.6, 23.6) is 14.5pt from nearest edge; Arc end endpoint (224.0, 23.6) is 14.5pt from nearest edge; Arc start endpoint (314.4, 142.6) is 14.5pt from nearest edge (+9 more)",True,All elements >= 1.5pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,No numeric labels to check,,
10,2d shapes,triangle,unknown,True,18253.377676010132,0.013245,2.9582977294921875,1.0,True,,No angle indicators to check,True,Diagram is fully in canvas,,No labels to check,True,No problematic overlaps detected,True,All elements >= 0.6pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,No numeric labels to check,,
11,2d shapes,triangle,unknown,True,13558.172941207886,0.01178375,1.8439292907714844,1.0,True,,No angle indicators to check,True,No canvas constraints applied,,No labels to check,True,No problematic overlaps detected,True,All elements >= 0.6pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,No numeric labels to check,,
12,2d shapes,triangle,unknown,True,39129.28009033203,0.04266125,9.420156478881836,0.625,False,False,"Right-angle symbol at (48.7, 1.6) does not align with two diagram edges; Right-angle symbol at (17.6, -9.7) does not align with two diagram edges; Right-angle symbol at (20.1, 28.0) does not correspond to a 90° corner (closest 90.0°)",True,No canvas constraints applied,True,Labels assigned (3 total): Label 'h_1' -> segment (distance=0.0pt); Label 'h_2' -> segment (distance=0.0pt); Label 'h_3' -> segment (distance=0.0pt) (ties noted: Numeric label 'h_1' ties edges (difference=0.0pt); Numeric label 'h_2' ties edges (difference=0.0pt) (+1 more ties)),False,Node 'h_1' sits directly on top of a diagram edge,True,All elements >= 0.7pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,False,"Length proportion mismatch: ((no id), label=1) vs ((no id), label=2) → rel. error 0.961; Length proportion mismatch: ((no id), label=1) vs ((no id), label=3) → rel. error 2.168; Length proportion mismatch: ((no id), label=2) vs ((no id), label=3) → rel. error 0.616",,
13,2d shapes,triangle,unknown,True,34356.881856918335,0.01353375,28.99694442749023,0.875,False,True,No angle labels present; Right-angle symbols consistent,True,No canvas constraints applied,True,Labels assigned (2 total): Label '5 units' -> segment (distance=1.4pt); Label '5 units' -> shape_edge (polygon) (distance=0.0pt) (ties noted: Numeric label '5 units' ties edges (difference=2.8pt); Numeric label '5 units' ties edges (difference=1.4pt)),False,Node '5 units' sits directly on top of a diagram edge,True,All elements >= 0.7pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,True,Labeled lengths/areas match measured proportions,,
14,2d shapes,triangle,unknown,True,29919.038772583008,0.02644625,15.52724838256836,0.8571428571428571,False,N/A,No angle labels or right-angle symbols to evaluate,True,Diagram is fully in canvas,True,Labels assigned (3 total): Label 'Q' -> shape (triangle) (inside shape); Label 'P' -> shape (triangle) (inside shape); Label 'R' -> shape (triangle) (inside shape),False,"Arc start endpoint (94.0, 72.3) is 21.7pt from nearest edge; Arc end endpoint (72.3, 94.0) is 21.7pt from nearest edge; Arc start endpoint (50.6, 94.0) is 29.7pt from nearest edge (+4 more)",True,All elements >= 2.2pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,No numeric labels to check,,
15,2d shapes,triangle,unknown,True,15133.23187828064,0.0113875,1.4498233795166016,1.0,True,,No angle indicators to check,True,No canvas constraints applied,,No labels to check,True,No problematic overlaps detected,True,All elements >= 2.3pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,No numeric labels to check,,
16,2d shapes,triangle,unknown,False,43757.124185562134,0.02445875,9.35283400008302,0.8571428571428571,False,True,Angle labels match arcs (1/1); No right-angle symbols present,True,Diagram is fully in canvas,True,Labels assigned (1 total): Label 'A = 48°' -> arc (distance=0.0pt),False,"Arc start endpoint (92.9, 32.6) is 7.1pt from nearest edge",True,All elements >= 0.8pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,No numeric labels to check,,
17,2d shapes,triangle,unknown,False,17162.862062454224,0.0135525,22.5082909998946,0.75,False,,No angle indicators to check,True,No canvas constraints applied,True,Labels assigned (8 total): Label 'Triangle 1' -> segment (distance=6.2pt); Label 'Triangle 2' -> segment (distance=6.2pt); Label 'Area = 1 square unit' -> shape_edge (triangle) (distance=7.2pt); Label 'Area = 1.5 square units' -> shape_edge (triangle) (distance=7.2pt); Label 'base = 1' -> segment (distance=0.0pt); Label 'height = 2' -> segment (distance=0.0pt); Label 'base = 3' -> segment (distance=0.0pt); Label 'height = 1' -> segment (distance=0.0pt) (ties noted: Numeric label 'Triangle 1' ties edges (difference=1.1pt); Numeric label 'Triangle 2' ties edges (difference=1.1pt)),True,No problematic overlaps detected,True,All elements >= 1.9pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,False,"Length proportion mismatch: ((no id), label=1) vs ((no id), label=2) → rel. error 0.333; Length proportion mismatch: ((no id), label=1) vs ((no id), label=1) → rel. error 0.500; Length proportion mismatch: ((no id), label=1) vs ((no id), label=1.5) → rel. error 0.500 (+14 more)",False,"Schema validation failed: 32 validation errors for TikzIR
line_segments.0.from.list[float].0
  Input should be a valid number [type=float_type, input_value=[0, -0.3], input_type=list]
    For further information visit https://errors.pydantic.dev/2.11/v/float_type
line_segments.0.from.list[float].0
  Input should be a valid number [type=float_type, input_value=[0, -0.3], input_type=list]
    For further information visit https://errors.pydantic.dev/2.11/v/float_type
line_segments.0.to.list[float].0
  Input should be a valid number [type=float_type, input_value=[1, -0.3], input_type=list]
    For further information visit https://errors.pydantic.dev/2.11/v/float_type
line_segments.0.to.list[float].0
  Input should be a valid number [type=float_type, input_value=[1, -0.3], input_type=list]
    For further information visit https://errors.pydantic.dev/2.11/v/float_type
line_segments.1.from.list[float].0
  Input should be a valid number [type=float_type, input_value=[-0.2, 0], input_type=list]
    For further information visit https://errors.pydantic.dev/2.11/v/float_type
line_segments.1.from.list[float].0
  Input should be a valid number [type=float_type, input_value=[-0.2, 0], input_type=list]
    For further information visit https://errors.pydantic.dev/2.11/v/float_type
line_segments.1.to.list[float].0
  Input should be a valid number [type=float_type, input_value=[-0.2, 2], input_type=list]
    For further information visit https://errors.pydantic.dev/2.11/v/float_type
line_segments.1.to.list[float].0
  Input should be a valid number [type=float_type, input_value=[-0.2, 2], input_type=list]
    For further information visit https://errors.pydantic.dev/2.11/v/float_type
line_segments.2.from.list[float].0
  Input should be a valid number [type=float_type, input_value=[2.5, -0.3], input_type=list]
    For further information visit https://errors.pydantic.dev/2.11/v/float_type
line_segments.2.from.list[float].0
  Input should be a valid number [type=float_type, input_value=[2.5, -0.3], input_type=list]
    For further information visit https://errors.pydantic.dev/2.11/v/float_type
line_segments.2.to.list[float].0
  Input should be a valid number [type=float_type, input_value=[5.5, -0.3], input_type=list]
    For further information visit https://errors.pydantic.dev/2.11/v/float_type
line_segments.2.to.list[float].0
  Input should be a valid number [type=float_type, input_value=[5.5, -0.3], input_type=list]
    For further information visit https://errors.pydantic.dev/2.11/v/float_type
line_segments.3.from.list[float].0
  Input should be a valid number [type=float_type, input_value=[5.7, 0], input_type=list]
    For further information visit https://errors.pydantic.dev/2.11/v/float_type
line_segments.3.from.list[float].0
  Input should be a valid number [type=float_type, input_value=[5.7, 0], input_type=list]
    For further information visit https://errors.pydantic.dev/2.11/v/float_type
line_segments.3.to.list[float].0
  Input should be a valid number [type=float_type, input_value=[5.7, 1], input_type=list]
    For further information visit https://errors.pydantic.dev/2.11/v/float_type
line_segments.3.to.list[float].0
  Input should be a valid number [type=float_type, input_value=[5.7, 1], input_type=list]
    For further information visit https://errors.pydantic.dev/2.11/v/float_type
nodes.0.at.list[float].0
  Input should be a valid number [type=float_type, input_value=[0.5, -0.1], input_type=list]
    For further information visit https://errors.pydantic.dev/2.11/v/float_type
nodes.0.at.list[float].0
  Input should be a valid number [type=float_type, input_value=[0.5, -0.1], input_type=list]
    For further information visit https://errors.pydantic.dev/2.11/v/float_type
nodes.1.at.list[float].0
  Input should be a valid number [type=float_type, input_value=[4, -0.1], input_type=list]
    For further information visit https://errors.pydantic.dev/2.11/v/float_type
nodes.1.at.list[float].0
  Input should be a valid number [type=float_type, input_value=[4, -0.1], input_type=list]
    For further information visit https://errors.pydantic.dev/2.11/v/float_type
nodes.2.at.list[float].0
  Input should be a valid number [type=float_type, input_value=[0.5, 2.1], input_type=list]
    For further information visit https://errors.pydantic.dev/2.11/v/float_type
nodes.2.at.list[float].0
  Input should be a valid number [type=float_type, input_value=[0.5, 2.1], input_type=list]
    For further information visit https://errors.pydantic.dev/2.11/v/float_type
nodes.3.at.list[float].0
  Input should be a valid number [type=float_type, input_value=[4, 1.1], input_type=list]
    For further information visit https://errors.pydantic.dev/2.11/v/float_type
nodes.3.at.list[float].0
  Input should be a valid number [type=float_type, input_value=[4, 1.1], input_type=list]
    For further information visit https://errors.pydantic.dev/2.11/v/float_type
nodes.4.at.list[float].0
  Input should be a valid number [type=float_type, input_value=[0.5, -0.3], input_type=list]
    For further information visit https://errors.pydantic.dev/2.11/v/float_type
nodes.4.at.list[float].0
  Input should be a valid number [type=float_type, input_value=[0.5, -0.3], input_type=list]
    For further information visit https://errors.pydantic.dev/2.11/v/float_type
nodes.5.at.list[float].0
  Input should be a valid number [type=float_type, input_value=[-0.2, 1], input_type=list]
    For further information visit https://errors.pydantic.dev/2.11/v/float_type
nodes.5.at.list[float].0
  Input should be a valid number [type=float_type, input_value=[-0.2, 1], input_type=list]
    For further information visit https://errors.pydantic.dev/2.11/v/float_type
nodes.6.at.list[float].0
  Input should be a valid number [type=float_type, input_value=[4, -0.3], input_type=list]
    For further information visit https://errors.pydantic.dev/2.11/v/float_type
nodes.6.at.list[float].0
  Input should be a valid number [type=float_type, input_value=[4, -0.3], input_type=list]
    For further information visit https://errors.pydantic.dev/2.11/v/float_type
nodes.7.at.list[float].0
  Input should be a valid number [type=float_type, input_value=[5.7, 0.5], input_type=list]
    For further information visit https://errors.pydantic.dev/2.11/v/float_type
nodes.7.at.list[float].0
  Input should be a valid number [type=float_type, input_value=[5.7, 0.5], input_type=list]
    For further information visit https://errors.pydantic.dev/2.11/v/float_type"
18,2d shapes,triangle,unknown,True,14405.93695640564,0.012865,2.5200843811035156,0.8333333333333334,False,,No angle indicators to check,True,Diagram is fully in canvas,True,Labels assigned (2 total): Label '8' -> shape_edge (polygon) (distance=0.0pt); Label '6' -> shape_edge (polygon) (distance=8.4pt),False,Node '8' sits directly on top of a diagram edge,True,All elements >= 1.6pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,Not enough labeled pairs to compare proportions,,
19,2d shapes,triangle,unknown,True,20010.67090034485,0.013995,2.3751258850097656,1.0,True,,No angle indicators to check,True,No canvas constraints applied,True,Labels assigned (3 total): Label 'A' -> shape (triangle) (inside shape); Label 'B' -> shape (triangle) (inside shape); Label 'C' -> shape (triangle) (inside shape),True,No problematic overlaps detected,True,All elements >= 0.9pt,True,All shapes marked closed,True,Shape parameters are non-degenerate,,No numeric labels to check,,
