diagram_id,model,mode,temperature,reasoning_effort,elapsed_ms,input_tokens,cached_tokens,output_tokens,total_tokens,error,tikz_code,image_png_path,shape_outlines_are_closed_value,shape_outlines_are_closed_rationale,angle_labels_matches_arcs_value,angle_labels_matches_arcs_rationale,labeled_lengths_areas_match_proportions_value,labeled_lengths_areas_match_proportions_rationale,core_mathematical_properties_of_shapes_correct_value,core_mathematical_properties_of_shapes_correct_rationale,diagram_fully_in_canvas_value,diagram_fully_in_canvas_rationale,diagram_elements_are_readable_size_value,diagram_elements_are_readable_size_rationale,labels_associated_with_elements_value,labels_associated_with_elements_rationale,diagram_elements_dont_problematically_overlap_value,diagram_elements_dont_problematically_overlap_rationale
1,gpt-4.1,both,0.0,,15226.72125,2507,0,524,3031,,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=1in,y=1in]
\clip (-0.5,-0.5) rectangle (4.5,3.5);

\begin{scope}

% Draw the triangle with base length 8 and height 6
\draw[thick] (0,0)--(4,0)--(2,3)--cycle;

% Draw the dashed height line
\draw[dashed, thick] (2,3)--(2,0);

% Draw the right angle indicator
\draw[thick] (2,0) rectangle ($(2,0)+(0.15,0.15)$);

% Label the base
\node[below] at (2,-0.2) {base};

% Label the height
\node[right] at (2.1,1.5) {height = 6};

% Label the base length
\node[below] at (2,-0.5) {8};

\end{scope}

\end{tikzpicture}
\end{document}",data/judge_pngs/diagram_1.png,Yes,"The triangle is drawn with three connected line segments that form a closed shape, as indicated by the use of --cycle in the TikZ code and the visual appearance of the triangle.",Yes,"There is a right angle indicator at the base of the height, which is correctly placed at the intersection of the base and the height, indicating a right angle as expected for a height in a triangle. There are no numerical angle labels.",Yes,"The base is labeled as 8 and the height as 6. Visually, the base is longer than the height, which matches the proportions of 8 to 6. The triangle's shape is consistent with these dimensions.",Yes,"The diagram correctly shows a triangle with a base, a height drawn from the top vertex perpendicular to the base, and a right angle at the intersection. The core properties of a triangle and its height are accurately represented.",Yes,"All elements of the diagram, including the triangle, height, right angle marker, and all labels, are fully visible within the frame. Nothing is cut off.",Yes,"The triangle, height, right angle marker, and all text labels are of readable size and clearly distinguishable from each other.",Yes,"The 'base' label is centered below the base, the 'height = 6' label is placed next to the dashed height, and the '8' label is also below the base, indicating the base length. All labels are correctly associated with their respective elements.",Yes,"There is no problematic overlap between any elements. The labels are placed with sufficient space from the triangle and each other, and the right angle marker does not interfere with any text."
10,gpt-4.1,both,0.0,,10876.156417000004,2367,1152,341,2708,,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}[x=1in,y=1in]
\clip (-0.5,-0.5) rectangle (1.5,1.5);

\begin{scope}[shift={(0.5,0.2)}]
\coordinate (A) at (0,0);
\coordinate (B) at (1,0);
\coordinate (C) at (0.5,0.866);

\draw (A)--(B)--(C)--(A);

\node[vertex] at (A) {};
\node[vertex] at (B) {};
\node[vertex] at (C) {};
\end{scope}
\end{tikzpicture}
\end{document}",data/judge_pngs/diagram_10.png,Yes,"The triangle is drawn with three connected line segments, forming a closed shape with no visible gaps in the outline.",N/A,There are no labeled angles or angle markers present in the diagram.,N/A,There are no labeled lengths or areas in the diagram.,Yes,"The diagram depicts a triangle with three straight sides and three vertices, which is mathematically correct for a triangle.",Yes,All parts of the triangle and its vertices are fully visible within the frame; nothing is cut off.,Yes,The triangle and its vertices are clearly visible and appropriately sized for readability.,N/A,There are no labels present in the diagram.,Yes,There is no problematic overlap; the triangle and its vertices are distinct and do not interfere with each other.
100,gpt-4.1,both,0.0,,14452.793707999945,3363,0,425,3788,,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}
\begin{axis}[
    FourQuadrantGrid,
    width=\FP,
    height=\FP,
    xmin=-8,
    xmax=8,
    ymin=-8,
    ymax=8,
    xlabel={$x$},
    ylabel={$y$},
    xlabel style={yshift=-8pt},
    ylabel style={xshift=-8pt},
    xtick={-8,-7,...,8},
    ytick={-8,-7,...,8},
    minor xtick={},
    minor ytick={}
]

% Original triangle ABC
\coordinate (A) at (1,1);
\coordinate (B) at (4,1);
\coordinate (C) at (2,4);

% Triangle DEF (90° rotation counterclockwise about origin)
\coordinate (D) at (-1,1);
\coordinate (E) at (-1,4);
\coordinate (F) at (-4,2);

% Triangle GHI (180° rotation about origin)
\coordinate (G) at (-1,-1);
\coordinate (H) at (-4,-1);
\coordinate (I) at (-2,-4);

% Triangle JKL (270° rotation counterclockwise about origin)
\coordinate (J) at (1,-1);
\coordinate (K) at (1,-4);
\coordinate (L) at (4,-2);

% Draw triangles
\draw[line width=1.5pt, blue] (A) -- (B) -- (C) -- cycle;
\draw[line width=1.5pt, red] (D) -- (E) -- (F) -- cycle;
\draw[line width=1.5pt, green] (G) -- (H) -- (I) -- cycle;
\draw[line width=1.5pt, orange] (J) -- (K) -- (L) -- cycle;

% Label vertices
\node[vertex, label=below right:{$A$}] at (A) {};
\node[vertex, label=below right:{$B$}] at (B) {};
\node[vertex, label=above right:{$C$}] at (C) {};

\node[vertex, label=below left:{$D$}] at (D) {};
\node[vertex, label=above left:{$E$}] at (E) {};
\node[vertex, label=above left:{$F$}] at (F) {};

\node[vertex, label=above left:{$G$}] at (G) {};
\node[vertex, label=above left:{$H$}] at (H) {};
\node[vertex, label=below left:{$I$}] at (I) {};

\node[vertex, label=above right:{$J$}] at (J) {};
\node[vertex, label=below right:{$K$}] at (K) {};
\node[vertex, label=below right:{$L$}] at (L) {};

\end{axis}
\end{tikzpicture}
\end{document}",data/judge_pngs/diagram_100.png,Yes,"All four triangles (ABC, DEF, GHI, JKL) are drawn with their outlines fully closed, as each is constructed using three line segments joined at the vertices and completed with the 'cycle' command.",N/A,"There are no labeled angles or angle markers in the diagram, so this criterion is not applicable.",N/A,"There are no labeled lengths or areas in the diagram, so this criterion is not applicable.",Yes,"The triangles are correctly shown as rotations of the original triangle ABC by 90°, 180°, and 270° about the origin, as described in the code. The coordinates and orientation of each triangle match the expected result of these rotations.",Yes,"All triangles and their labeled vertices are fully within the visible grid and canvas, with no elements cut off.",Yes,"The triangles, grid, and all vertex labels are clearly visible and of readable size relative to the diagram.",Yes,"Each label is placed next to its corresponding vertex, and the association is clear for all points.",Yes,"There is no problematic overlap between labels, triangle edges, or other diagram elements. All labels are placed with enough space to be easily read."
101,gpt-4.1,both,0.0,,17329.179875000136,2713,1152,498,3211,,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=1cm,y=1cm]

% Draw triangle A with base 5 and height 6
\draw[fill=LBlue] (0,0)--(5,0)--(2.5,6)--cycle;

% Draw the base line (emphasized)
\draw[thick] (0,0)--(5,0);

% Draw perpendicular height line (dashed)
\draw[dashed, thick] (2.5,6)--(2.5,0);

% Draw right angle indicator
\draw[line width=0.5pt] (2.5,0) rectangle ($(2.5,0)+(0.3,0.3)$);

% Label the base
\node[below] at (2.5,-0.3) {base = 5};

% Label the height
\node[right] at (2.8,3) {height = 6};

% Label the triangle
\node[above left] at (2.5,6.2) {Triangle A};

% Add measurement arrows for base
\draw[<->] (0,-0.7)--(5,-0.7);
\node[below] at (2.5,-0.7) {5};

% Add measurement arrows for height
\draw[<->] (3.2,0)--(3.2,6);
\node[right] at (3.2,3) {6};

\end{tikzpicture}

\end{document}",data/judge_pngs/diagram_101.png,Yes,"The triangle is drawn using three connected line segments with the 'cycle' command, ensuring the outline is closed with no gaps.",Yes,"There is a right angle marker at the base where the height meets the base, indicating a right angle. The marker is correctly placed at the intersection of the height and the base, matching the geometric construction.",Yes,"The base is labeled as 5 and the height as 6. Visually, the height is longer than the base, which matches the proportions of 6 being greater than 5. The measurement arrows and labels are consistent with the triangle's dimensions.",Yes,"The triangle is isosceles with the height drawn from the apex to the midpoint of the base, and the right angle is correctly indicated at the base. The geometric properties are accurately represented.",Yes,"All elements of the diagram, including the triangle, labels, measurement arrows, and right angle marker, are fully visible and not cut off by the frame.",Yes,"All diagram elements, including the triangle, labels, and measurement arrows, are of sufficient size to be easily readable and distinguishable.",Yes,"Labels for 'base = 5' and 'height = 6' are placed adjacent to their respective elements (base and height), and the triangle is labeled 'Triangle A' above the apex. Measurement arrows are also correctly labeled.",Yes,"There is a minor overlap between the 'height = 6' label and the height measurement arrow, but both remain readable. No other problematic overlaps are present."
102,gpt-4.1,both,0.0,,10698.418334000053,3223,1152,409,3632,,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=1in,y=1in]
\clip (-1.5,-1.2) rectangle (1.5,1.2);

% Draw card background
\draw[fill=white, draw=black, thick] (-1.2,-1) rectangle (1.2,1);

% Position birds in triangle formation
% Top bird
\begin{scope}[shift={(0,0.4)}, scale=0.3]
\draw[fill=green!70!black, draw=green!40!black, thick] 
  (-0.3,0) -- (-0.8,0.4) -- (-0.5,0.6) -- (0,0.8) -- (0.5,0.6) -- (0.8,0.4) -- (0.3,0) -- (0.1,-0.2) -- (-0.1,-0.2) -- cycle;
% Bird eye
\fill[black] (-0.1,0.3) circle (0.08);
\end{scope}

% Bottom left bird
\begin{scope}[shift={(-0.5,-0.3)}, scale=0.3]
\draw[fill=green!70!black, draw=green!40!black, thick] 
  (-0.3,0) -- (-0.8,0.4) -- (-0.5,0.6) -- (0,0.8) -- (0.5,0.6) -- (0.8,0.4) -- (0.3,0) -- (0.1,-0.2) -- (-0.1,-0.2) -- cycle;
% Bird eye
\fill[black] (-0.1,0.3) circle (0.08);
\end{scope}

% Bottom right bird
\begin{scope}[shift={(0.5,-0.3)}, scale=0.3]
\draw[fill=green!70!black, draw=green!40!black, thick] 
  (-0.3,0) -- (-0.8,0.4) -- (-0.5,0.6) -- (0,0.8) -- (0.5,0.6) -- (0.8,0.4) -- (0.3,0) -- (0.1,-0.2) -- (-0.1,-0.2) -- cycle;
% Bird eye
\fill[black] (-0.1,0.3) circle (0.08);
\end{scope}

\end{tikzpicture}
\end{document}",data/judge_pngs/diagram_102.png,Yes,"All the drawn shapes (the rectangle and the three bird-like polygons) are closed, as indicated by the use of the 'cycle' command in the TikZ code and the visual appearance of the diagram.",N/A,There are no labeled angles or angle markers present in the diagram.,N/A,There are no labeled lengths or areas in the diagram.,Yes,"The rectangle is properly drawn, and the three bird-like polygons are consistently shaped and positioned in a triangular formation as described. There are no mathematical inconsistencies in the construction of these shapes.",Yes,"All elements, including the rectangle and the three bird-like shapes, are fully within the visible frame and not cut off.",Yes,"The rectangle and the bird-like shapes are all clearly visible and appropriately sized relative to the canvas. The details, such as the 'eyes' of the birds, are also distinguishable.",N/A,There are no labels present in the diagram.,Yes,"No elements overlap in a problematic way. The bird-like shapes are spaced apart, and there is no interference between shapes or with the rectangle."
103,gpt-4.1,both,0.0,,18155.583875000048,4109,1152,512,4621,,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=0.8in,y=0.8in]

% First triangle (larger)
\coordinate (A1) at (0,0);
\coordinate (B1) at (3,0);
\coordinate (C1) at (1.5,2);

\draw[thick] (A1) -- (B1) -- (C1) -- cycle;

% Labels for first triangle
\node[below left] at (A1) {A};
\node[below right] at (B1) {B};
\node[above] at (C1) {C};

% Side measurements for first triangle
\node[below, yshift=-2mm] at (1.5,0) {6};
\node[left, xshift=-2mm] at (0.75,1) {4};
\node[right, xshift=2mm] at (2.25,1) {5};

% Second triangle (smaller, similar)
\coordinate (D1) at (5,0);
\coordinate (E1) at (6.8,0);
\coordinate (F1) at (5.9,1.2);

\draw[thick] (D1) -- (E1) -- (F1) -- cycle;

% Labels for second triangle
\node[below left] at (D1) {D};
\node[below right] at (E1) {E};
\node[above] at (F1) {F};

% Side measurements for second triangle
\node[below, yshift=-2mm] at (5.9,0) {3};
\node[left, xshift=-2mm] at (5.45,0.6) {2};
\node[right, xshift=2mm] at (6.35,0.6) {2.5};

% Angle markings for corresponding angles
% First triangle angles
\draw (A1) ++(0.3,0) arc (0:53.13:0.3);
\draw (B1) ++(-0.3,0) arc (180:126.87:0.3);
\draw (C1) ++(0,-0.25) arc (270:233.13:0.25) arc (233.13:306.87:0.25);

% Second triangle angles (similar markings)
\draw (D1) ++(0.3,0) arc (0:53.13:0.3);
\draw (E1) ++(-0.3,0) arc (180:126.87:0.3);
\draw (F1) ++(0,-0.25) arc (270:233.13:0.25) arc (233.13:306.87:0.25);

% Correspondence arrows
\draw[<->, dashed, gray] (A1) -- (D1);
\draw[<->, dashed, gray] (B1) -- (E1);
\draw[<->, dashed, gray] (C1) -- (F1);

\end{tikzpicture}

\end{document}",data/judge_pngs/diagram_103.png,Yes,"Both triangles are drawn with three connected sides each, forming closed shapes with no visible gaps in their outlines.",N/A,"There are angle markings (arcs) at each vertex of both triangles, but there are no numerical angle labels. The arcs are placed at corresponding vertices, indicating similarity, but since there are no numbers, this is not applicable.",Yes,"The side lengths for triangle ABC are labeled as 6, 4, and 5, and for triangle DEF as 3, 2, and 2.5. The proportions between corresponding sides are 6:3 = 2, 4:2 = 2, and 5:2.5 = 2, which matches the visual proportions and supports similarity.",Yes,"The triangles are depicted as similar, with corresponding sides in the same ratio and corresponding angles marked. The correspondence arrows reinforce this. The core properties (triangle similarity) are correctly represented.",Yes,"All elements of both triangles, including labels, side lengths, angle arcs, and correspondence arrows, are fully visible and not cut off by the edge of the canvas.",Yes,"All labels, side lengths, and angle arcs are of sufficient size to be easily readable and distinguishable. The triangles themselves are large and clear.",Yes,"All vertex labels are placed next to the correct vertices, and side length labels are positioned adjacent to the correct sides. There is no ambiguity in label association.",Yes,"There is no problematic overlap between any elements. Labels, arcs, and arrows are all spaced apart and do not interfere with each other or the triangle outlines."
104,gpt-4.1,both,0.0,,15616.486165999959,3035,1152,529,3564,,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=0.5in,y=0.5in]

% Define the isosceles triangle with vertex angle 28 degrees
\def\vertexAngle{28}
\def\baseLength{4}

% Calculate base angles (both equal in isosceles triangle)
\pgfmathsetmacro{\baseAngle}{(180-\vertexAngle)/2}

% Define coordinates
\coordinate (A) at (0, 3.5);  % Top vertex
\coordinate (B) at (-2, 0);   % Bottom left
\coordinate (C) at (2, 0);    % Bottom right

% Draw the triangle
\draw[thick] (A) -- (B) -- (C) -- cycle;

% Mark the vertices
\node[vertex, label=above:$A$] at (A) {};
\node[vertex, label=below left:$B$] at (B) {};
\node[vertex, label=below right:$C$] at (C) {};

% Draw angle arc and label for vertex angle
\drawarc[line width=0.5pt](A)(-104:-76:0.4in);
\node at ($(A)+(-90:0.6in)$) {$28^\circ$};

% Draw angle arcs and labels for base angles
\drawarc[line width=0.5pt](B)(0:76:0.3in);
\node at ($(B)+(38:0.5in)$) {$76^\circ$};

\drawarc[line width=0.5pt](C)(104:180:0.3in);
\node at ($(C)+(142:0.5in)$) {$76^\circ$};

% Mark equal sides with tick marks
\draw[thick] ($(A)!0.5!(B) + (0.1,0.05)$) -- ($(A)!0.5!(B) + (-0.1,-0.05)$);
\draw[thick] ($(A)!0.5!(C) + (-0.1,0.05)$) -- ($(A)!0.5!(C) + (0.1,-0.05)$);

\end{tikzpicture}
\end{document}",data/judge_pngs/diagram_104.png,Yes,"The triangle is drawn with three connected sides using the -- cycle command, ensuring the outline is closed with no gaps.",Yes,"The vertex angle at A is labeled 28°, and the base angles at B and C are each labeled 76°. The sum is 180°, and the arcs are drawn at the correct vertices. The arc sizes visually correspond to the labeled angles, with the vertex angle arc being much smaller than the base angles, which is correct for 28° vs 76°.",N/A,"There are no explicit side lengths or areas labeled in the diagram, only angle measures and tick marks for equal sides. Thus, this criterion is not applicable.",Yes,"The triangle is isosceles with the vertex angle at A (28°) and equal base angles at B and C (76° each). The tick marks correctly indicate the equal sides, and the angle measures are consistent with an isosceles triangle. The triangle is drawn with the correct proportions for these angles.",Yes,"All vertices, angle arcs, labels, and tick marks are fully visible within the frame. Nothing is cut off.",Yes,"All elements, including the triangle, angle arcs, tick marks, and labels, are of sufficient size and are easily readable relative to each other.",Yes,"The angle labels (28°, 76°, 76°) are placed near their respective vertices and arcs. The vertex labels (A, B, C) are correctly positioned at the triangle's vertices. Tick marks are placed on the correct sides to indicate equality.",Yes,"There is no problematic overlap: labels do not intersect with lines or other labels, and all elements are clearly separated."
105,gpt-4.1,both,0.0,,11663.784583000051,2571,1152,382,2953,,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}
\begin{axis}[FirstQuadrantLabeled,width=\HalfPage,height=\HalfPage,xmin=0,xmax=10,ymin=0,ymax=10,xlabel={$x$},ylabel={$y$},xlabel style={yshift=-8pt},ylabel style={xshift=-8pt},xtick={0,1,2,3,4,5,6,7,8,9,10},ytick={0,1,2,3,4,5,6,7,8,9,10},minor x tick num=0,minor y tick num=0]

\coordinate (D) at (2,3);
\coordinate (E) at (7,2);
\coordinate (F) at (4,8);

\draw[line width=1.5pt] (D) -- (E) -- (F) -- (D);

\node[vertex,label={below left:D}] at (D) {};
\node[vertex,label={below right:E}] at (E) {};
\node[vertex,label={above:F}] at (F) {};

\end{axis}
\end{tikzpicture}
\end{document}",data/judge_pngs/diagram_105.png,Yes,"The triangle formed by points D, E, and F is fully closed, as the lines connect all three vertices and return to the starting point.",N/A,There are no labeled angles or angle markers in the diagram.,N/A,There are no labeled lengths or areas in the diagram.,Yes,"The diagram correctly depicts a triangle with vertices at the specified coordinates, and the triangle is plotted accurately on the grid.",Yes,"All elements of the triangle and their labels are fully within the frame of the diagram, with nothing cut off.",Yes,"The triangle, grid, and all labels (D, E, F, x, y) are clearly visible and appropriately sized for readability.",Yes,"Each label (D, E, F) is placed next to its corresponding vertex, and the axis labels are correctly associated with the axes.",Yes,There is no problematic overlap; all labels and diagram elements are distinct and do not interfere with each other.
106,gpt-4.1,both,0.0,,13841.423624999834,2735,1152,398,3133,,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}
\begin{axis}[
    FirstQuadrantLabeled,
    width=\HalfPage,
    height=\HalfPage,
    xmin=0,
    xmax=10,
    ymin=0,
    ymax=10,
    xlabel={$x$},
    ylabel={$y$},
    xlabel style={yshift=-8pt},
    ylabel style={xshift=-8pt},
    xtick={0,1,2,3,4,5,6,7,8,9,10},
    ytick={0,1,2,3,4,5,6,7,8,9,10},
    minor x tick num=0,
    minor y tick num=0
]

\coordinate (J) at (2,1);
\coordinate (K) at (8,2);
\coordinate (L) at (4,7);

\draw[line width=1.5pt] (J) -- (K) -- (L) -- (J);

\node[vertex, label={below left:$J$}, fill=white, draw=black, thick, inner sep=1.5pt] at (J) {};
\node[vertex, label={below right:$K$}, fill=white, draw=black, thick, inner sep=1.5pt] at (K) {};
\node[vertex, label={above:$L$}, fill=white, draw=black, thick, inner sep=1.5pt] at (L) {};

\end{axis}
\end{tikzpicture}
\end{document}",data/judge_pngs/diagram_106.png,Yes,"The triangle formed by points J, K, and L is fully closed, as the lines connect all three vertices and return to the starting point.",N/A,There are no angle labels or angle markers present in the diagram.,N/A,"There are no labeled lengths or areas in the diagram, only points and the triangle itself.",Yes,The diagram correctly represents a triangle with vertices at the specified coordinates. The triangle is plotted accurately on the grid.,Yes,All elements of the triangle and the labeled axes are fully within the frame. No part of the triangle or its labels is cut off.,Yes,"The triangle, grid, and labels (J, K, L, x, y, and O) are all clearly visible and appropriately sized for readability.",Yes,"Each label (J, K, L) is placed next to its corresponding vertex, and the axis labels are correctly associated with the axes.",Yes,There is no problematic overlap between any elements. Labels are placed with enough space from the triangle and grid lines.
107,gpt-4.1,both,0.0,,15906.4347919998,3027,1152,488,3515,,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}
\begin{axis}[
    FirstQuadrantXY,
    width=\HalfPage,
    height=\HalfPage,
    xmin=0,
    xmax=10,
    ymin=0,
    ymax=8,
    xlabel={$x$},
    ylabel={$y$},
    xlabel style={yshift=-8pt},
    ylabel style={xshift=-8pt},
    xtick={0,1,2,3,4,5,6,7,8,9,10},
    ytick={0,1,2,3,4,5,6,7,8},
    minor x tick num=0,
    minor y tick num=0,
    grid=major
]

% Define triangle vertices
\coordinate (A) at (2,1);
\coordinate (B) at (8,3);
\coordinate (C) at (4,6);

% Draw the triangle
\draw[line width=1.5pt] (A) -- (B) -- (C) -- (A);

% Label vertices
\node[vertex, label={below left:A}] at (A) {};
\node[vertex, label={below right:B}] at (B) {};
\node[vertex, label={above:C}] at (C) {};

% Calculate foot of perpendicular from C to base AB
% Base AB goes from (2,1) to (8,3)
% Direction vector of AB: (6,2)
% Vector from A to C: (2,5)
% Projection formula gives foot at approximately (3.2, 1.4)
\coordinate (H) at (3.2, 1.4);

% Draw height line from C perpendicular to AB
\draw[line width=1pt, dashed] (C) -- (H);

% Mark the right angle at H
\draw[line width=0.8pt] (3.0, 1.5) -- (3.1, 1.7) -- (3.3, 1.6) -- (3.2, 1.4);

% Label the height point
\node[vertex, label={below:H}] at (H) {};

\end{axis}
\end{tikzpicture}
\end{document}",data/judge_pngs/diagram_107.png,Yes,"The triangle is drawn with three connected line segments, forming a closed shape with no visible gaps in the outline.",Yes,"There is a right angle marker at point H, indicating a 90-degree angle where the altitude from C meets AB. The dashed line from C to H is perpendicular to AB, and the right angle marker is correctly placed at H. There are no numerical angle labels, only the right angle marker.",N/A,"There are no explicit length or area labels in the diagram, only point labels and a right angle marker.",Yes,"The triangle is correctly drawn with vertices A, B, and C at the specified coordinates. The altitude from C to AB is shown as a dashed line, and the right angle marker is at the correct location. The geometric construction is mathematically correct.",Yes,"All elements of the diagram, including the triangle, altitude, right angle marker, and all labels, are fully visible within the axis frame. Nothing is cut off.",Yes,"The triangle, altitude, right angle marker, and all point labels (A, B, C, H) are clearly visible and appropriately sized relative to the diagram.",Yes,"Each label (A, B, C, H) is placed next to its corresponding vertex, and the right angle marker is at the correct location (H).",Yes,"There is no problematic overlap between diagram elements. Labels are not intersected by lines, and the right angle marker does not obscure any important features."
