diagram_id,model,mode,temperature,reasoning_effort,elapsed_ms,input_tokens,cached_tokens,output_tokens,total_tokens,error,tikz_code,image_png_path,shape_outlines_are_closed_value,shape_outlines_are_closed_rationale,angle_labels_matches_arcs_value,angle_labels_matches_arcs_rationale,labeled_lengths_areas_match_proportions_value,labeled_lengths_areas_match_proportions_rationale,core_mathematical_properties_of_shapes_correct_value,core_mathematical_properties_of_shapes_correct_rationale,diagram_fully_in_canvas_value,diagram_fully_in_canvas_rationale,diagram_elements_are_readable_size_value,diagram_elements_are_readable_size_rationale,labels_associated_with_elements_value,labels_associated_with_elements_rationale,diagram_elements_dont_problematically_overlap_value,diagram_elements_dont_problematically_overlap_rationale
1,gpt-5-mini,both,0.0,low,14735.730415999999,3548,0,918,4466,,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=1in,y=1in]
\clip (-0.5,-0.5) rectangle (4.5,3.5);

\begin{scope}

% Draw the triangle with base length 8 and height 6
\draw[thick] (0,0)--(4,0)--(2,3)--cycle;

% Draw the dashed height line
\draw[dashed, thick] (2,3)--(2,0);

% Draw the right angle indicator
\draw[thick] (2,0) rectangle ($(2,0)+(0.15,0.15)$);

% Label the base
\node[below] at (2,-0.2) {base};

% Label the height
\node[right] at (2.1,1.5) {height = 6};

% Label the base length
\node[below] at (2,-0.5) {8};

\end{scope}

\end{tikzpicture}
\end{document}",data/judge_pngs/diagram_1.png,Yes,"The triangle is drawn with \draw ... -- cycle, and visually all three sides connect to form a closed triangle with no gaps.",Yes,"There is a right-angle square marker at the foot of the dashed altitude indicating a 90° angle; that marker is placed correctly between the dashed altitude and the base, so the marked right angle matches the drawn angle.",No,"The diagram text labels the base as 8 and the height as 6, but the drawn coordinates place the base from x=0 to x=4 and the apex at y=3 (visual base length 4 and height 3). The numeric labels do not match the visual proportions.",Yes,"The triangle is drawn symmetric with the dashed altitude from the apex to the midpoint of the base, correctly showing an isosceles triangle with an altitude perpendicular to the base; these core geometric relations are correct even though numeric labels are inconsistent with the drawing scale.",Yes,"All parts of the triangle, dashed altitude, right-angle marker, and labels are fully inside the clipped rectangle and nothing is cut off.",Yes,"Lines, the dashed altitude, right-angle marker, and text labels are large enough and clear at the provided scale; labels are legible and not too small.",Yes,"The label 'base' and the numeric '8' are positioned below the midpoint of the base, and 'height = 6' is placed near the dashed altitude — each label is adjacent to the element it describes.",Yes,"No labels obscure important lines or intersections; the right-angle square touches the base as expected but does not obscure other information, and labels are positioned clear of key intersection points."
10,gpt-5-mini,both,0.0,low,13629.211959000002,2036,0,610,2646,,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}[x=1in,y=1in]
\clip (-0.5,-0.5) rectangle (1.5,1.5);

\begin{scope}[shift={(0.5,0.2)}]
\coordinate (A) at (0,0);
\coordinate (B) at (1,0);
\coordinate (C) at (0.5,0.866);

\draw (A)--(B)--(C)--(A);

\node[vertex] at (A) {};
\node[vertex] at (B) {};
\node[vertex] at (C) {};
\end{scope}
\end{tikzpicture}
\end{document}",data/judge_pngs/diagram_10.png,Yes,"The triangle is drawn with consecutive \draw commands (A)--(B)--(C)--(A), closing the polygon back to A; visually there are no gaps in the outline.",N/A,There are no angle labels or angle markers in the diagram.,N/A,The diagram contains no numeric length or area labels to compare to visual proportions.,Yes,"The coordinates (0,0), (1,0), (0.5,0.866) form an equilateral triangle (height ~ sqrt(3)/2). The drawn shape matches these expected geometric properties.",Yes,"All triangle vertices, edges, and vertex markers are fully visible within the image bounds; nothing is cut off by the clip.",Yes,Line thickness and vertex markers are sufficiently large and clear; elements are easily readable relative to the image.,N/A,"There are no textual labels (like A, B, C or side labels) present to associate with elements.",Yes,Elements overlap only where expected (vertex dots placed at endpoints); no labels or elements obscure each other or make interpretation difficult.
100,gpt-5-mini,both,0.0,low,10451.738665999983,4424,1152,653,5077,,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}
\begin{axis}[
    FourQuadrantGrid,
    width=\FP,
    height=\FP,
    xmin=-8,
    xmax=8,
    ymin=-8,
    ymax=8,
    xlabel={$x$},
    ylabel={$y$},
    xlabel style={yshift=-8pt},
    ylabel style={xshift=-8pt},
    xtick={-8,-7,...,8},
    ytick={-8,-7,...,8},
    minor xtick={},
    minor ytick={}
]

% Original triangle ABC
\coordinate (A) at (1,1);
\coordinate (B) at (4,1);
\coordinate (C) at (2,4);

% Triangle DEF (90° rotation counterclockwise about origin)
\coordinate (D) at (-1,1);
\coordinate (E) at (-1,4);
\coordinate (F) at (-4,2);

% Triangle GHI (180° rotation about origin)
\coordinate (G) at (-1,-1);
\coordinate (H) at (-4,-1);
\coordinate (I) at (-2,-4);

% Triangle JKL (270° rotation counterclockwise about origin)
\coordinate (J) at (1,-1);
\coordinate (K) at (1,-4);
\coordinate (L) at (4,-2);

% Draw triangles
\draw[line width=1.5pt, blue] (A) -- (B) -- (C) -- cycle;
\draw[line width=1.5pt, red] (D) -- (E) -- (F) -- cycle;
\draw[line width=1.5pt, green] (G) -- (H) -- (I) -- cycle;
\draw[line width=1.5pt, orange] (J) -- (K) -- (L) -- cycle;

% Label vertices
\node[vertex, label=below right:{$A$}] at (A) {};
\node[vertex, label=below right:{$B$}] at (B) {};
\node[vertex, label=above right:{$C$}] at (C) {};

\node[vertex, label=below left:{$D$}] at (D) {};
\node[vertex, label=above left:{$E$}] at (E) {};
\node[vertex, label=above left:{$F$}] at (F) {};

\node[vertex, label=above left:{$G$}] at (G) {};
\node[vertex, label=above left:{$H$}] at (H) {};
\node[vertex, label=below left:{$I$}] at (I) {};

\node[vertex, label=above right:{$J$}] at (J) {};
\node[vertex, label=below right:{$K$}] at (K) {};
\node[vertex, label=below right:{$L$}] at (L) {};

\end{axis}
\end{tikzpicture}
\end{document}",data/judge_pngs/diagram_100.png,Yes,"Each triangle was drawn using the -- cycle path command, producing closed triangular outlines for all four shapes; no gaps are visible in the rendered image.",N/A,There are no angle measures or angle arc markings in the diagram to compare.,N/A,"No lengths or areas are labeled on the diagram, so there is nothing to compare to visual proportions.",Yes,"The four triangles are consistent with successive rotations about the origin: A(1,1)→D(-1,1)→G(-1,-1)→J(1,-1) etc., and corresponding vertices match the stated 90°, 180°, 270° rotations. The shapes preserve relative side relationships as expected under rigid rotations.",Yes,"All plotted points, triangles, axis ticks and labels are fully visible within the frame; no parts are cut off.",Yes,"Grid, axes, triangle edges, vertex dots and labels are rendered at sizes that are clear and legible in the image.",Yes,Each vertex label (A–L) is placed adjacent to the correct plotted point; labels correspond to the triangle vertices they are intended to mark.,Yes,Labels and lines do not obstruct one another in a way that impedes interpretation; no labels are directly intersected by segments and triangles are distinct from each other.
101,gpt-5-mini,both,0.0,low,12522.412583000005,2655,1152,823,3478,,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=1cm,y=1cm]

% Draw triangle A with base 5 and height 6
\draw[fill=LBlue] (0,0)--(5,0)--(2.5,6)--cycle;

% Draw the base line (emphasized)
\draw[thick] (0,0)--(5,0);

% Draw perpendicular height line (dashed)
\draw[dashed, thick] (2.5,6)--(2.5,0);

% Draw right angle indicator
\draw[line width=0.5pt] (2.5,0) rectangle ($(2.5,0)+(0.3,0.3)$);

% Label the base
\node[below] at (2.5,-0.3) {base = 5};

% Label the height
\node[right] at (2.8,3) {height = 6};

% Label the triangle
\node[above left] at (2.5,6.2) {Triangle A};

% Add measurement arrows for base
\draw[<->] (0,-0.7)--(5,-0.7);
\node[below] at (2.5,-0.7) {5};

% Add measurement arrows for height
\draw[<->] (3.2,0)--(3.2,6);
\node[right] at (3.2,3) {6};

\end{tikzpicture}

\end{document}",data/judge_pngs/diagram_101.png,Yes,The triangle is drawn with a closed cycle (\draw ... --cycle) and the rendered shape shows continuous edges meeting at the vertices with no gaps.,Yes,"There is a right-angle marker at the foot of the height indicating a 90° angle; the dashed height is drawn perpendicular to the base, so the right-angle marker matches the drawn geometry.",Yes,The base is drawn from x=0 to x=5 and the apex is at y=6 so the labeled base = 5 and height = 6 match the visual proportions in the figure (measurement arrows reflect those extents).,Yes,"The triangle is isosceles about the vertical through x=2.5 with a perpendicular height to the base at x=2.5; base and height labels correspond to those dimensions, so the core properties are consistent and correct.",Yes,"All elements (triangle, dashed height, measurement arrows, labels) are contained within the image frame and nothing essential appears cut off.",Yes,"Lines, arrowheads and text are large and clear; measurement labels and the triangle label are easily readable relative to the figure.",Yes,The base label and base measurement '5' are centered below the base; the height label and numeric '6' are placed alongside the height arrow — labels are placed next to the correct elements.,Yes,Labels and arrows overlap the figure in normal ways but remain legible; there are no labels or elements obscured or intersected such that interpretation is hindered.
102,gpt-5-mini,both,0.0,low,8636.678291999942,3259,1152,541,3800,,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=1in,y=1in]
\clip (-1.5,-1.2) rectangle (1.5,1.2);

% Draw card background
\draw[fill=white, draw=black, thick] (-1.2,-1) rectangle (1.2,1);

% Position birds in triangle formation
% Top bird
\begin{scope}[shift={(0,0.4)}, scale=0.3]
\draw[fill=green!70!black, draw=green!40!black, thick] 
  (-0.3,0) -- (-0.8,0.4) -- (-0.5,0.6) -- (0,0.8) -- (0.5,0.6) -- (0.8,0.4) -- (0.3,0) -- (0.1,-0.2) -- (-0.1,-0.2) -- cycle;
% Bird eye
\fill[black] (-0.1,0.3) circle (0.08);
\end{scope}

% Bottom left bird
\begin{scope}[shift={(-0.5,-0.3)}, scale=0.3]
\draw[fill=green!70!black, draw=green!40!black, thick] 
  (-0.3,0) -- (-0.8,0.4) -- (-0.5,0.6) -- (0,0.8) -- (0.5,0.6) -- (0.8,0.4) -- (0.3,0) -- (0.1,-0.2) -- (-0.1,-0.2) -- cycle;
% Bird eye
\fill[black] (-0.1,0.3) circle (0.08);
\end{scope}

% Bottom right bird
\begin{scope}[shift={(0.5,-0.3)}, scale=0.3]
\draw[fill=green!70!black, draw=green!40!black, thick] 
  (-0.3,0) -- (-0.8,0.4) -- (-0.5,0.6) -- (0,0.8) -- (0.5,0.6) -- (0.8,0.4) -- (0.3,0) -- (0.1,-0.2) -- (-0.1,-0.2) -- cycle;
% Bird eye
\fill[black] (-0.1,0.3) circle (0.08);
\end{scope}

\end{tikzpicture}
\end{document}",data/judge_pngs/diagram_102.png,Yes,Each bird outline is drawn with a closed path ending in -- cycle; the card background is drawn as a closed rectangle. Visually all shapes appear closed with no gaps.,N/A,There are no angle labels or angle arcs in the diagram.,N/A,The diagram contains no explicit numeric length or area labels to compare; only graphical elements are present.,Yes,The core geometric elements (closed polygonal birds and a rectangular card) are drawn as intended and match the described construction in the TikZ code.,Yes,"All drawn elements, including the outer rectangle and the three bird shapes, are fully visible within the clipping rectangle and not cut off at the image edges.",Yes,Shapes and the filled eye dots are sufficiently large and clearly visible; stroke widths and fills make elements easily readable at the presented scale.,N/A,There are no textual labels or annotations in the diagram to associate with elements.,Yes,The three bird shapes and their eye dots are well-separated and do not overlap in a way that obscures interpretation; no labels overlap other elements.
103,gpt-5-mini,both,0.0,low,14475.745208000035,4008,1152,742,4750,,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=0.8in,y=0.8in]

% First triangle (larger)
\coordinate (A1) at (0,0);
\coordinate (B1) at (3,0);
\coordinate (C1) at (1.5,2);

\draw[thick] (A1) -- (B1) -- (C1) -- cycle;

% Labels for first triangle
\node[below left] at (A1) {A};
\node[below right] at (B1) {B};
\node[above] at (C1) {C};

% Side measurements for first triangle
\node[below, yshift=-2mm] at (1.5,0) {6};
\node[left, xshift=-2mm] at (0.75,1) {4};
\node[right, xshift=2mm] at (2.25,1) {5};

% Second triangle (smaller, similar)
\coordinate (D1) at (5,0);
\coordinate (E1) at (6.8,0);
\coordinate (F1) at (5.9,1.2);

\draw[thick] (D1) -- (E1) -- (F1) -- cycle;

% Labels for second triangle
\node[below left] at (D1) {D};
\node[below right] at (E1) {E};
\node[above] at (F1) {F};

% Side measurements for second triangle
\node[below, yshift=-2mm] at (5.9,0) {3};
\node[left, xshift=-2mm] at (5.45,0.6) {2};
\node[right, xshift=2mm] at (6.35,0.6) {2.5};

% Angle markings for corresponding angles
% First triangle angles
\draw (A1) ++(0.3,0) arc (0:53.13:0.3);
\draw (B1) ++(-0.3,0) arc (180:126.87:0.3);
\draw (C1) ++(0,-0.25) arc (270:233.13:0.25) arc (233.13:306.87:0.25);

% Second triangle angles (similar markings)
\draw (D1) ++(0.3,0) arc (0:53.13:0.3);
\draw (E1) ++(-0.3,0) arc (180:126.87:0.3);
\draw (F1) ++(0,-0.25) arc (270:233.13:0.25) arc (233.13:306.87:0.25);

% Correspondence arrows
\draw[<->, dashed, gray] (A1) -- (D1);
\draw[<->, dashed, gray] (B1) -- (E1);
\draw[<->, dashed, gray] (C1) -- (F1);

\end{tikzpicture}

\end{document}",data/judge_pngs/diagram_103.png,Yes,All three-sided shapes are drawn with TikZ -- cycle commands and visually form closed triangle outlines with no gaps.,N/A,"The diagram contains only angular arc markers (no numeric angle measures or labelled degrees). Because there are no numeric angle labels to check, this criterion is not applicable.",Yes,"Side labels on the large triangle are 6, 4, 5 and on the smaller triangle are 3, 2, 2.5. The smaller values are exactly half of the larger ones, matching the drawn geometry (the coordinates use a 1:0.5 scale), so the labeled lengths are consistent with the visual proportions.",Yes,The triangles satisfy triangle inequalities and the smaller triangle is a scaled copy (similar) of the larger one as indicated; core geometric properties are correctly represented.,Yes,"All vertices, labels, dashed correspondence arrows and arcs are fully visible within the image; no elements are cut off by the frame.",Yes,"Lines, arc markers and text labels are large enough to be easily read and distinguishable relative to the diagram size.",Yes,"Vertex labels (A,B,C,D,E,F) are placed next to their respective points and numeric side labels are positioned near the corresponding sides, so labels are correctly associated with elements.",Yes,No labels intersect lines or overlap other elements in a way that obscures information; dashed correspondence arrows do not cause confusing overlaps with labels or arcs.
104,gpt-5-mini,both,0.0,low,10619.639250000091,2875,1152,679,3554,,"\documentclass{IM}
\usepackage{tikz}
\begin{document}

\begin{tikzpicture}[x=0.5in,y=0.5in]

% Define the isosceles triangle with vertex angle 28 degrees
\def\vertexAngle{28}
\def\baseLength{4}

% Calculate base angles (both equal in isosceles triangle)
\pgfmathsetmacro{\baseAngle}{(180-\vertexAngle)/2}

% Define coordinates
\coordinate (A) at (0, 3.5);  % Top vertex
\coordinate (B) at (-2, 0);   % Bottom left
\coordinate (C) at (2, 0);    % Bottom right

% Draw the triangle
\draw[thick] (A) -- (B) -- (C) -- cycle;

% Mark the vertices
\node[vertex, label=above:$A$] at (A) {};
\node[vertex, label=below left:$B$] at (B) {};
\node[vertex, label=below right:$C$] at (C) {};

% Draw angle arc and label for vertex angle
\drawarc[line width=0.5pt](A)(-104:-76:0.4in);
\node at ($(A)+(-90:0.6in)$) {$28^\circ$};

% Draw angle arcs and labels for base angles
\drawarc[line width=0.5pt](B)(0:76:0.3in);
\node at ($(B)+(38:0.5in)$) {$76^\circ$};

\drawarc[line width=0.5pt](C)(104:180:0.3in);
\node at ($(C)+(142:0.5in)$) {$76^\circ$};

% Mark equal sides with tick marks
\draw[thick] ($(A)!0.5!(B) + (0.1,0.05)$) -- ($(A)!0.5!(B) + (-0.1,-0.05)$);
\draw[thick] ($(A)!0.5!(C) + (-0.1,0.05)$) -- ($(A)!0.5!(C) + (0.1,-0.05)$);

\end{tikzpicture}
\end{document}",data/judge_pngs/diagram_104.png,Yes,"The triangle is drawn with a closed path using -- cycle; all three sides connect at vertices A, B, and C with no visible gaps.",Yes,The vertex angle is labeled 28° with an arc at A and the two base angles are labeled 76° each with matching arcs; these values are consistent ( (180-28)/2 = 76 ) and the arcs correspond to the indicated angles.,N/A,There are no numeric length or area labels in the diagram to compare with visual proportions.,Yes,"The figure is an isosceles triangle with tick marks on AB and AC and vertex angle 28°, which correctly yields base angles of 76°; the markings and labels are consistent with this property.",Yes,"All vertices, sides, labels, and angle arcs are fully visible within the image; nothing is cut off by the frame.",Yes,"Lines, tick marks, angle arcs, and labels (A, B, C, and angle measures) are sized and positioned so they are easily readable at the provided resolution.",Yes,"Vertex labels A, B, C are placed at the correct vertices and each angle measure is placed near its corresponding arc; tick marks are on the equal sides, so labels/marks are correctly associated.",Yes,"No labels or markings obscure each other or intersect lines in a way that impedes interpretation; spacing between arcs, numbers, and vertex labels is clear."
105,gpt-5-mini,both,0.0,low,13108.867250000003,2960,1152,556,3516,,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}
\begin{axis}[FirstQuadrantLabeled,width=\HalfPage,height=\HalfPage,xmin=0,xmax=10,ymin=0,ymax=10,xlabel={$x$},ylabel={$y$},xlabel style={yshift=-8pt},ylabel style={xshift=-8pt},xtick={0,1,2,3,4,5,6,7,8,9,10},ytick={0,1,2,3,4,5,6,7,8,9,10},minor x tick num=0,minor y tick num=0]

\coordinate (D) at (2,3);
\coordinate (E) at (7,2);
\coordinate (F) at (4,8);

\draw[line width=1.5pt] (D) -- (E) -- (F) -- (D);

\node[vertex,label={below left:D}] at (D) {};
\node[vertex,label={below right:E}] at (E) {};
\node[vertex,label={above:F}] at (F) {};

\end{axis}
\end{tikzpicture}
\end{document}",data/judge_pngs/diagram_105.png,Yes,"The triangle is drawn with three line segments connecting D (2,3) -- E (7,2) -- F (4,8) -- back to D, forming a closed polygon with no gaps.",N/A,There are no angle labels or arc markings in the diagram to compare.,N/A,The diagram contains no explicit length or area labels to assess against visual proportions.,Yes,"The plotted coordinates produce a valid triangle and the connections and vertex placements are consistent with those coordinates (D=(2,3), E=(7,2), F=(4,8)).",Yes,"All plotted elements (axes, grid, triangle, and labels) are fully visible within the image frame; nothing is cut off.",Yes,"Grid, axes, triangle lines, points, and labels are clearly visible and appropriately scaled for readability.",Yes,"Vertex labels D, E, and F are placed adjacent to their respective plotted points and clearly indicate the corresponding vertices.",Yes,No elements obscure each other; labels and points do not overlap in a way that hinders interpretation (labels are placed near but not on top of points).
106,gpt-5-mini,both,0.0,low,10597.432292000121,3124,1152,558,3682,,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}
\begin{axis}[
    FirstQuadrantLabeled,
    width=\HalfPage,
    height=\HalfPage,
    xmin=0,
    xmax=10,
    ymin=0,
    ymax=10,
    xlabel={$x$},
    ylabel={$y$},
    xlabel style={yshift=-8pt},
    ylabel style={xshift=-8pt},
    xtick={0,1,2,3,4,5,6,7,8,9,10},
    ytick={0,1,2,3,4,5,6,7,8,9,10},
    minor x tick num=0,
    minor y tick num=0
]

\coordinate (J) at (2,1);
\coordinate (K) at (8,2);
\coordinate (L) at (4,7);

\draw[line width=1.5pt] (J) -- (K) -- (L) -- (J);

\node[vertex, label={below left:$J$}, fill=white, draw=black, thick, inner sep=1.5pt] at (J) {};
\node[vertex, label={below right:$K$}, fill=white, draw=black, thick, inner sep=1.5pt] at (K) {};
\node[vertex, label={above:$L$}, fill=white, draw=black, thick, inner sep=1.5pt] at (L) {};

\end{axis}
\end{tikzpicture}
\end{document}",data/judge_pngs/diagram_106.png,Yes,The triangle is drawn with line segments (J)--(K)--(L)--(J) so the polygon is closed with no visible gaps between segments.,N/A,"There are no angle measures or right-angle markers shown on the diagram, so this criterion does not apply.",N/A,"No lengths or area values are labeled on the diagram, so there is nothing to compare to visual proportions.",Yes,"The triangle's vertices are placed at the given coordinates (J=(2,1), K=(8,2), L=(4,7)) and connected appropriately; the plotted shape corresponds to those coordinates and is a valid triangle.",Yes,"All elements (axes, grid, triangle, and vertex labels) are fully visible within the image; nothing is cut off.",Yes,"Grid, axes, vertex markers, lines, and labels are drawn at a clear, legible size relative to the image.",Yes,"Vertex labels J, K, and L are positioned adjacent to their corresponding plotted points and clearly refer to those vertices.",Yes,Labels and markers do not obscure the lines or points; there are no problematic overlaps that hinder interpretation.
107,gpt-5-mini,both,0.0,low,17325.605583000197,3272,1152,923,4195,,"\documentclass{IM}
\usepackage{tikz}
\begin{document}
\begin{tikzpicture}
\begin{axis}[
    FirstQuadrantXY,
    width=\HalfPage,
    height=\HalfPage,
    xmin=0,
    xmax=10,
    ymin=0,
    ymax=8,
    xlabel={$x$},
    ylabel={$y$},
    xlabel style={yshift=-8pt},
    ylabel style={xshift=-8pt},
    xtick={0,1,2,3,4,5,6,7,8,9,10},
    ytick={0,1,2,3,4,5,6,7,8},
    minor x tick num=0,
    minor y tick num=0,
    grid=major
]

% Define triangle vertices
\coordinate (A) at (2,1);
\coordinate (B) at (8,3);
\coordinate (C) at (4,6);

% Draw the triangle
\draw[line width=1.5pt] (A) -- (B) -- (C) -- (A);

% Label vertices
\node[vertex, label={below left:A}] at (A) {};
\node[vertex, label={below right:B}] at (B) {};
\node[vertex, label={above:C}] at (C) {};

% Calculate foot of perpendicular from C to base AB
% Base AB goes from (2,1) to (8,3)
% Direction vector of AB: (6,2)
% Vector from A to C: (2,5)
% Projection formula gives foot at approximately (3.2, 1.4)
\coordinate (H) at (3.2, 1.4);

% Draw height line from C perpendicular to AB
\draw[line width=1pt, dashed] (C) -- (H);

% Mark the right angle at H
\draw[line width=0.8pt] (3.0, 1.5) -- (3.1, 1.7) -- (3.3, 1.6) -- (3.2, 1.4);

% Label the height point
\node[vertex, label={below:H}] at (H) {};

\end{axis}
\end{tikzpicture}
\end{document}",data/judge_pngs/diagram_107.png,Yes,"The triangle is drawn with the path (A) -- (B) -- (C) -- (A), so the polygonal outline is closed with no gaps.",No,"There is a right-angle marker (no numeric angle) drawn at H to indicate the foot of the perpendicular. However the constructed foot H (3.2,1.4) does not produce a line CH that is actually perpendicular to AB (AB has slope 1/3, CH as drawn has a very different slope), so the right-angle marker does not correctly indicate a true right angle between CH and AB.",N/A,"The diagram contains no labeled lengths or areas, so this criterion is not applicable.",No,"The main shape is a triangle and is drawn correctly, but the claimed altitude from C to AB is incorrect: the computed foot H at (3.2,1.4) does not lie such that CH is perpendicular to AB (the slopes are inconsistent), so the key mathematical property (that CH is an altitude) is not realized in the drawing.",Yes,"All vertices, labels, grid and markings are fully visible inside the figure frame; nothing is cut off at the image border.",Yes,"The triangle, dashed altitude, right-angle marker, grid and vertex labels are all clearly visible and sized appropriately relative to each other.",Yes,"Labels A, B, C and H are placed next to their corresponding points and clearly associated with those vertices.",Yes,"Elements such as points, lines, right-angle marker and labels do not overlap in a way that obscures reading; all elements remain legible. The right-angle marker lies near H but does not block identification of the point."
